;Empleo;Año del censo;Partido
155;0;2002;Cañuelas
156;0;2002;Capitán Sarmiento
157;0;2002;Carlos Casares
158;0;2002;Carlos Tejedor
159;0;2002;Carmen de Areco
160;0;2002;Castelli
161;0;2002;Chacabuco
162;0;2002;Chascomús
163;0;2002;Chivilcoy
164;0;2002;Colón
165;0;2002;Coronel de Marina Leonardo Rosales
166;0;2002;Coronel Dorrego
167;0;2002;Coronel Pringles
168;0;2002;Coronel Suárez
169;0;2002;Daireaux
170;0;2002;Dolores
171;0;2002;Ensenada
172;0;2002;Escobar
173;0;2002;Esteban Echeverría
174;0;2002;Exaltación de la Cruz
175;0;2002;Ezeiza
176;0;2002;Florencio Varela
177;0;2002;Florentino Ameghino
178;0;2002;General Alvarado
179;0;2002;General Alvear
180;0;2002;General Arenales
181;0;2002;General Belgrano
182;0;2002;General Guido
183;0;2002;General Juan Madariaga
184;0;2002;General La Madrid
185;0;2002;General Las Heras
186;0;2002;General Lavalle
187;0;2002;General Paz
188;0;2002;General Pinto
189;0;2002;General Pueyrredón
190;0;2002;General Rodríguez
191;0;2002;General San Martín
192;0;2002;General Viamonte
193;0;2002;General Villegas
194;0;2002;Guaminí
195;0;2002;Hipólito Yrigoyen
196;0;2002;Hurlingham
197;0;2002;Ituzaingó
198;0;2002;José C, Paz
199;0;2002;Junín
200;0;2002;La Costa
201;0;2002;La Matanza
202;0;2002;Lanús
203;0;2002;La Plata
204;0;2002;Laprida
205;0;2002;Las Flores
206;0;2002;Leandro N, Alem
207;0;2002;Lezama
208;0;2002;Lincoln
209;0;2002;Lobería
210;0;2002;Lobos
211;0;2002;Lomas de Zamora
212;0;2002;Luján
213;0;2002;Magdalena
214;0;2002;Maipú
215;0;2002;Malvinas Argentinas
216;0;2002;Mar Chiquita
217;0;2002;Marcos Paz
218;0;2002;Mercedes
219;0;2002;Merlo
220;0;2002;Monte
221;0;2002;Monte Hermoso
222;0;2002;Moreno
223;0;2002;Morón
224;0;2002;Navarro
225;0;2002;Necochea
226;0;2002;9 de julio
227;0;2002;Olavarría
228;0;2002;Patagones
229;0;2002;Pehuajó
