;Cantidad de personas;Año del censo;Partido;Sexo de nacimiento
117;1;2018;San Miguel;Mujeres Residentes del campo
118;61;2018;San Nicolás;Mujeres Residentes del campo
119;332;2018;San Pedro;Mujeres Residentes del campo
120;165;2018;San Vicente;Mujeres Residentes del campo
121;251;2018;Suipacha;Mujeres Residentes del campo
122;629;2018;Tandil;Mujeres Residentes del campo
123;231;2018;Tapalqué;Mujeres Residentes del campo
124;16;2018;Tigre;Mujeres Residentes del campo
125;99;2018;Tordillo;Mujeres Residentes del campo
126;365;2018;Tornquist;Mujeres Residentes del campo
127;642;2018;Trenque Lauquen;Mujeres Residentes del campo
128;267;2018;Tres Arroyos;Mujeres Residentes del campo
129;0;2018;Tres de Febrero;Mujeres Residentes del campo
130;40;2018;Tres Lomas;Mujeres Residentes del campo
131;590;2018;25 de mayo;Mujeres Residentes del campo
132;0;2018;Vicente López;Mujeres Residentes del campo
133;0;2018;Villa Gesell;Mujeres Residentes del campo
134;429;2018;Villarino;Mujeres Residentes del campo
135;87;2018;Zárate;Mujeres Residentes del campo
136;59369;2002;Provincia de Buenos Aires;Mujeres Residentes del campo
137;862;2002;Adolfo Alsina;Mujeres Residentes del campo
138;291;2002;Adolfo Gonzales Chaves;Mujeres Residentes del campo
139;314;2002;Alberti;Mujeres Residentes del campo
140;42;2002;Almirante Brown;Mujeres Residentes del campo
141;274;2002;Arrecifes;Mujeres Residentes del campo
142;37;2002;Avellaneda;Mujeres Residentes del campo
143;955;2002;Ayacucho;Mujeres Residentes del campo
144;1119;2002;Azul;Mujeres Residentes del campo
145;348;2002;Bahía Blanca;Mujeres Residentes del campo
146;784;2002;Balcarce;Mujeres Residentes del campo
147;348;2002;Baradero;Mujeres Residentes del campo
148;571;2002;Benito Juárez;Mujeres Residentes del campo
149;173;2002;Berazategui;Mujeres Residentes del campo
150;99;2002;Berisso;Mujeres Residentes del campo
151;1028;2002;Bolívar;Mujeres Residentes del campo
152;451;2002;Bragado;Mujeres Residentes del campo
153;395;2002;Brandsen;Mujeres Residentes del campo
154;260;2002;Campana;Mujeres Residentes del campo
155;204;2002;Cañuelas;Mujeres Residentes del campo
156;155;2002;Capitán Sarmiento;Mujeres Residentes del campo
157;508;2002;Carlos Casares;Mujeres Residentes del campo
158;574;2002;Carlos Tejedor;Mujeres Residentes del campo
159;390;2002;Carmen de Areco;Mujeres Residentes del campo
160;202;2002;Castelli;Mujeres Residentes del campo
161;712;2002;Chacabuco;Mujeres Residentes del campo
162;764;2002;Chascomús;Mujeres Residentes del campo
163;853;2002;Chivilcoy;Mujeres Residentes del campo
164;236;2002;Colón;Mujeres Residentes del campo
165;159;2002;Coronel de Marina Leonardo Rosales;Mujeres Residentes del campo
166;437;2002;Coronel Dorrego;Mujeres Residentes del campo
167;499;2002;Coronel Pringles;Mujeres Residentes del campo
168;894;2002;Coronel Suárez;Mujeres Residentes del campo
169;416;2002;Daireaux;Mujeres Residentes del campo
170;128;2002;Dolores;Mujeres Residentes del campo
171;0;2002;Ensenada;Mujeres Residentes del campo
172;411;2002;Escobar;Mujeres Residentes del campo
173;15;2002;Esteban Echeverría;Mujeres Residentes del campo
174;567;2002;Exaltación de la Cruz;Mujeres Residentes del campo
