Año del censo;Provincia;Código del partido;Partido;Total EAPS;EAPS pequeñas (<= 500ha);EAPS grandes (>500 ha);Total de HA;HA ocupadas por EAPS pequeñas;HA ocupadas por EAPS grandes;HA sin limite definido;Superficie promedio;EAPS en manos de Empresas;EAPS en manos de Personas Humanas;EAPS en manos de otros;Superficie en manos de Empresas;Superficie en mano de Personas Humanas;Superficie en Otras manos;Cantidad de Mujeres propietarias de EAPs;Cantidad de Hombres propietarios de EAPs;Cantidad Sin discriminar propietaries EAPS;Mujeres Residentes del campo;Varones Residentes del campo;Empleo;Total ha implantadas;Cantidad de hectáreas implantadas de Cereales;Maiz para grano por hectárea;Trigo pan por hectárea;Otros Cereales por hectareas;Cantidad de hectáreas implantadas de Oleaginosas;Soja por hectárea;Otras oleaginosas por hectareas;Cantidad de hectáreas implantadas de Forrajeras;Forrajeras anuales por hectáreas;Forrajeras perennes por hectáreas;Cantidad de ha para otras plantaciones;Cantidad de hectareas dedicadas a Bosques y montes naturales;Prácticas orgánicasbiodinámicas/agroecológicas_EAPs
2018;Buenos Aires;210;Chacabuco;416;350;66;149834;51801;83280;14753;360;131;247;8;83613;53447;12291;45;196;6;150;310;353;128706;43436;23631;18970;835;75371;75274;97;8903;3423;5480;996;345;0
2018;Buenos Aires;218;Chascomús;488;334;154;250421;65828;171429;13163;513;131;336;16;121548;109883;18283;93;237;6;347;697;541;44412;13060;8596;3260;1204;14443;12884;1559;16545;7730;8815;365;501;0
2018;Buenos Aires;224;Chivilcoy;389;332;57;119530;48154;62176;9199;307;91;267;23;53148;57232;9145;39;227;1;183;392;314;104314;38485;21542;15152;1791;60034;60009;25;5129;1937;3192;666;819;8
2018;Buenos Aires;175;Colón;245;216;29;68749;30429;36133;2187;281;72;163;4;35240;28050;4520;26;131;6;81;136;139;64039;22437;12598;9386;454;37396;37396;0;2742;539;2203;1464;111;0
2018;Buenos Aires;182;Coronel de Marina Leonardo Rosales;114;79;35;85494;12106;51183;22205;750;22;86;0;37206;33201;15087;11;72;3;77;163;165;50163;26970;1451;11214;14305;0;0;0;21336;13290;8046;1856;306;6
2018;Buenos Aires;189;Coronel Dorrego;359;162;197;512588;43545;469015;28;1428;106;234;6;245229;231393;34095;29;203;2;236;772;423;369166;227055;43265;71004;112787;66711;48597;18114;65992;58521;7471;9407;122;0
2018;Buenos Aires;196;Coronel Pringles;505;292;213;458521;66795;383706;8020;908;116;368;19;205587;224949;24176;63;299;6;122;589;530;189099;77627;10425;50136;17066;48782;33753;15029;60813;53505;7308;1877;106;0
2018;Buenos Aires;203;Coronel Suárez;711;454;257;516911;90811;400907;25193;727;168;501;42;236473;224800;52223;94;385;22;413;1002;856;331856;141403;25518;84355;31530;105887;79795;26092;84345;51659;32687;220;400;10
2018;Buenos Aires;231;Daireaux;401;259;142;338111;47531;236392;54188;843;156;230;19;217247;87087;30185;39;191;0;354;664;660;162085;44478;29305;9416;5758;71765;65060;6705;45757;19495;26262;85;1141;0
2018;Buenos Aires;238;Dolores;157;100;57;138153;26031;104877;7245;880;33;124;0;35213;98607;4219;32;91;1;97;170;167;5576;500;500;0;0;6;6;0;5020;3665;1355;50;600;0
2018;Buenos Aires;245;Ensenada;6;6;0;641;119;0;522;107;0;14;0;0;641;0;2;11;1;9;12;11;1;0;0;0;0;0;0;0;0;0;0;1;0;0
2018;Buenos Aires;252;Escobar;32;32;0;3521;1982;0;1539;110;0;35;0;978;2543;0;1;34;0;19;60;37;1431;0;0;0;0;175;175;0;1084;99;985;172;463;0
2018;Buenos Aires;260;Esteban Echeverría;23;23;0;429;131;0;298;19;0;27;0;0;425;0;1;26;0;40;66;18;127;3;2;0;1;0;0;0;77;0;77;47;37;12
2018;Buenos Aires;266;Exaltación de la Cruz;139;121;18;45318;13104;20167;12048;326;46;89;0;25114;18341;1862;19;69;1;261;441;360;37036;13138;7745;4378;1015;18162;17735;427;5611;2245;3366;125;316;0
2018;Buenos Aires;270;Ezeiza;3;3;0;3060;11;0;3049;1020;4;0;0;2967;5;88;0;1;0;5;10;14;476;60;0;60;0;352;352;0;60;60;0;4;492;0
2018;Buenos Aires;274;Florencio Varela;427;427;0;1397;1397;0;0;3;3;415;0;72;1311;6;115;285;15;791;985;282;1259;176;26;150;0;200;200;0;1;0;1;882;1;13
2018;Buenos Aires;277;Florentino Ameghino;132;62;70;154322;12527;125022;16773;1169;51;71;6;97459;32176;20113;16;55;0;125;293;348;84230;27019;17895;8778;346;40610;36851;3759;16602;8214;8388;0;118;0
2018;Buenos Aires;280;General Alvarado;134;76;58;139532;11890;104665;22977;1041;55;56;21;81482;31430;26323;10;42;4;191;283;260;104790;37853;12509;18301;7043;53607;32459;21148;9539;2421;7118;3790;374;3
2018;Buenos Aires;287;General Alvear;280;161;119;273018;34920;219259;18839;975;102;163;13;180694;63591;28028;43;119;1;346;561;399;58995;14481;12950;1100;431;14636;11338;3298;29878;15555;14323;0;614;3
2018;Buenos Aires;294;General Arenales;286;234;52;92368;35162;49434;7773;323;74;202;7;45277;38890;7528;28;169;5;33;80;122;82859;29539;18741;10239;559;51105;51105;0;2090;287;1803;125;10;0
2018;Buenos Aires;301;General Belgrano;161;101;60;140910;17653;115514;7744;875;54;104;4;86680;45235;8995;27;77;0;213;345;249;43166;13690;9901;2963;825;20347;18675;1672;8871;2950;5921;258;67;0
