Año del censo;Provincia;Código del partido;Partido;Total EAPS;EAPS pequeñas (<= 500ha);EAPS grandes (>500 ha);Total de HA;HA ocupadas por EAPS pequeñas;HA ocupadas por EAPS grandes;HA sin limite definido;Superficie promedio;EAPS en manos de Empresas;EAPS en manos de Personas Humanas;EAPS en manos de otros;Superficie en manos de Empresas;Superficie en mano de Personas Humanas;Superficie en Otras manos;Cantidad de Mujeres propietarias de EAPs;Cantidad de Hombres propietarios de EAPs;Cantidad Sin discriminar propietaries EAPS;Mujeres Residentes del campo;Varones Residentes del campo;Empleo;Total ha implantadas;Cantidad de hectáreas implantadas de Cereales;Maiz para grano por hectárea;Trigo pan por hectárea;Otros Cereales por hectareas;Cantidad de hectáreas implantadas de Oleaginosas;Soja por hectárea;Otras oleaginosas por hectareas;Cantidad de hectáreas implantadas de Forrajeras;Forrajeras anuales por hectáreas;Forrajeras perennes por hectáreas;Cantidad de ha para otras plantaciones;Cantidad de hectareas dedicadas a Bosques y montes naturales;Prácticas orgánicasbiodinámicas/agroecológicas_EAPs
2018;Buenos Aires;756;San Isidro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Buenos Aires;760;San Miguel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0
2018;Buenos Aires;763;San Nicolás;177;154;23;44189;23912;18702;1576;250;31;142;3;12777;27847;2067;22;114;6;59;199;59;42594;10890;3915;5525;1450;30631;30616;15;799;141;658;275;28;0
2018;Buenos Aires;770;San Pedro;371;329;42;92566;35452;47346;9769;250;113;255;13;54950;30615;6789;26;226;3;332;605;902;83139;25033;12214;11767;1052;49755;49246;509;1358;1122;237;6992;191;6
2018;Buenos Aires;778;San Vicente;215;197;18;40966;24380;14086;2500;191;31;163;0;13083;25239;2139;40;123;0;163;174;114;2853;720;575;145;0;335;335;0;1798;1164;634;0;0;0
2018;Buenos Aires;784;Suipacha;146;105;41;118290;16869;50711;50710;810;46;93;3;87411;26725;3969;16;75;2;251;396;290;38088;9394;5139;3809;446;19043;19043;0;9644;4914;4730;7;68;0
2018;Buenos Aires;791;Tandil;479;298;181;321930;57011;256497;8422;672;173;257;36;188923;97665;34348;48;197;12;628;1001;1138;282155;104982;38041;22449;44492;121193;90160;31033;50927;31803;19125;5053;1259;10
2018;Buenos Aires;798;Tapalqué;290;147;143;353714;33122;295064;25528;1220;83;191;13;169140;142996;34855;57;130;4;230;522;490;43624;9260;6909;962;1389;10792;7590;3202;23533;10913;12620;40;381;0
2018;Buenos Aires;805;Tigre;45;45;0;2087;2087;0;0;46;3;19;23;30;403;1654;1;17;1;16;92;2;225;0;0;0;0;0;0;0;0;0;0;225;48;0
2018;Buenos Aires;812;Tordillo;95;66;29;100541;12310;66151;22080;1058;16;76;0;61622;27310;11609;20;56;0;97;181;112;1241;0;0;0;0;0;0;0;1241;860;381;0;0;0
2018;Buenos Aires;819;Tornquist;410;212;198;374680;57539;282660;34481;914;95;297;16;154284;184361;33538;46;248;3;363;562;533;144620;50557;6492;23652;20413;4523;1808;2715;89040;75151;13889;501;1676;13
2018;Buenos Aires;826;Trenque Lauquen;342;181;161;430227;44478;354748;31001;1258;140;165;35;275574;94619;56007;41;121;3;642;1330;1229;307841;89972;54704;25317;9952;128401;103981;24420;86399;46680;39719;3069;167;0
2018;Buenos Aires;833;Tres Arroyos;552;282;270;477294;67574;409710;10;865;171;349;17;215390;231877;28260;46;292;11;267;540;616;440857;201100;39079;76116;85906;170291;128100;42191;64100;34231;29869;5367;1989;13
2018;Buenos Aires;840;Tres de Febrero;0;0;0;353;0;0;353;0;0;0;0;0;353;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Buenos Aires;847;Tres Lomas;128;100;28;86308;20097;54472;11739;674;26;95;6;42102;28902;14280;13;81;1;40;154;176;69422;18721;13904;2418;2399;37911;25533;12378;9480;6745;2735;3311;619;0
2018;Buenos Aires;854;25 de mayo;603;433;170;381085;82597;292407;6081;632;205;360;23;221812;109112;45456;74;282;4;588;928;1178;223413;70461;38977;26144;5340;107546;104746;2800;44495;18664;25832;910;5662;0
2018;Buenos Aires;861;Vicente López;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Buenos Aires;868;Villa Gesell;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Buenos Aires;875;Villarino;632;310;322;849232;70328;778904;0;1344;127;463;37;381560;366823;96679;62;388;13;427;969;842;147266;28814;3408;14978;10429;2423;0;0;113037;76529;36508;2992;181847;5
2018;Buenos Aires;882;Zárate;45;31;14;51472;3569;39248;8656;1144;16;39;6;23181;10671;17621;4;33;2;87;108;104;25646;8225;4181;3711;333;15440;15132;308;1437;352;1085;543;467;0
2002;Buenos Aires;6;Provincia de Buenos Aires;51107;38344;12763;25788670;5828911;19959758;0;505;14461;36262;384;13457692;11912495;418483;0;0;0;59369;91584;67316;12100201;4042566;858770;2801764;382033;3493022;2573963;919059;4312182;1325414;2986768;252431;793111;0
2002;Buenos Aires;7;Adolfo Alsina;805;545;260;450109;123232;326878;0;559;182;613;10;148298;289727;12085;0;0;0;862;1219;0;330962;131184;4719;101935;24530;44916;12462;32454;152592;78016;74577;2271;152;0
2002;Buenos Aires;14;Adolfo Gonzales Chaves;346;166;180;302586;36803;265783;0;875;119;227;0;165439;137147;0;0;0;0;291;582;0;210726;81810;3069;69857;8884;51348;10074;41274;76400;16300;60100;1169;0;0
2002;Buenos Aires;21;Alberti;287;236;51;117297;35430;81867;0;409;81;205;1;76073;41078;146;0;0;0;314;470;0;104661;47040;15975;26397;4668;47633;47502;131;4334;1666;2668;5655;717;0
2002;Buenos Aires;28;Almirante Brown;40;40;0;388;388;0;0;10;20;19;1;0;152;0;0;0;0;42;69;0;148;0;0;0;0;0;0;0;10;0;10;138;0;0
2002;Buenos Aires;77;Arrecifes;192;148;44;83412;26356;57056;0;434;76;115;1;52670;26141;0;0;0;0;274;374;0;83116;25385;12698;12476;211;49629;48987;642;7367;1093;6274;736;541;0
2002;Buenos Aires;35;Avellaneda;18;18;0;89;89;0;0;5;5;13;0;31;58;0;0;0;0;37;30;0;58;0;0;0;0;0;0;0;0;0;0;58;11;0
2002;Buenos Aires;42;Ayacucho;935;608;327;585149;125579;459570;0;626;260;670;5;313419;262487;9243;0;0;0;955;1605;0;92187;13383;5773;7208;402;8290;1314;6976;69757;13230;56527;757;30;0
2002;Buenos Aires;49;Azul;888;559;329;685448;113401;572047;0;772;278;604;6;386232;281260;2265;0;0;0;1119;1795;0;289186;101376;19622;79785;1969;83747;69937;13810;100869;23429;77441;3195;24;0
2002;Buenos Aires;56;Bahía Blanca;266;156;110;214657;32923;181734;0;807;59;202;5;102259;106468;5524;0;0;0;348;525;0;85926;27100;30;22962;4108;140;70;70;58346;39196;19150;340;7666;0
2002;Buenos Aires;63;Balcarce;546;375;171;324689;60228;264461;0;595;234;302;10;216221;89877;0;0;0;0;784;1256;0;201201;71399;14319;55249;1831;42204;16471;25734;82681;11590;71091;4916;1171;0
2002;Buenos Aires;70;Baradero;208;161;47;68856;19130;49726;0;331;85;121;2;48132;20209;0;0;0;0;348;523;0;64049;22318;9278;12987;53;33391;32932;459;6488;1395;5093;1852;245;0
2002;Buenos Aires;84;Benito Juárez;514;289;225;424063;58143;365920;0;825;161;352;1;187062;217362;0;0;0;0;571;995;0;145094;48397;5456;40377;2564;31013;11908;19105;64596;11474;53122;1090;20;0
2002;Buenos Aires;91;Berazategui;91;90;1;2671;1421;1250;0;29;9;82;0;0;1107;0;0;0;0;173;246;0;460;0;0;0;0;0;0;0;0;0;0;460;7;0
2002;Buenos Aires;98;Berisso;108;106;2;7326;3671;3655;0;68;9;99;0;0;3797;0;0;0;0;99;116;0;816;0;0;0;0;0;0;0;61;0;61;755;140;0
2002;Buenos Aires;105;Bolívar;1484;1269;215;442143;168194;273949;0;298;300;1179;5;175202;265071;0;0;0;0;1028;1591;0;98366;21787;6111;14480;1197;18133;15324;2809;57079;11084;45996;1367;959;0
2002;Buenos Aires;112;Bragado;619;516;103;198917;72744;126173;0;321;156;462;1;81016;107164;0;0;0;0;451;726;0;150529;58056;16470;33549;8037;71626;71521;105;19798;1618;18180;1050;731;0
2002;Buenos Aires;119;Brandsen;316;266;50;97366;43920;53446;0;308;88;227;1;53447;42821;1098;0;0;0;395;624;0;12271;603;443;160;0;355;40;315;10993;3623;7370;320;115;0
2002;Buenos Aires;126;Campana;129;112;17;46737;10550;36187;0;362;35;93;1;33067;12986;0;0;0;0;260;404;0;26211;2361;559;1602;200;5734;5634;100;631;310;321;17485;270;0
2002;Buenos Aires;134;Cañuelas;218;183;35;62164;27729;34435;0;285;62;154;2;28981;31653;0;0;0;0;204;360;0;13499;4425;2042;2356;27;3406;3221;185;5274;1068;4206;394;366;0
2002;Buenos Aires;140;Capitán Sarmiento;155;135;20;39567;15933;23634;0;255;41;114;0;21268;18299;0;0;0;0;155;296;0;33090;10653;5028;5340;285;15705;15705;0;6311;1043;5268;421;108;0
2002;Buenos Aires;147;Carlos Casares;669;570;99;223282;78210;145072;0;334;209;458;2;144009;75888;3385;0;0;0;508;770;0;69207;23013;7270;14160;1583;26949;24302;2647;18530;6683;11847;716;424;0
2002;Buenos Aires;154;Carlos Tejedor;725;554;171;345381;91750;253631;0;476;212;508;5;198048;135683;11650;0;0;0;574;880;0;89551;23686;8837;14565;284;26022;22671;3351;38692;6757;31936;1151;18;0
2002;Buenos Aires;161;Carmen de Areco;211;162;49;88478;21253;67225;0;419;78;133;0;57669;30809;0;0;0;0;390;512;0;61318;14657;6948;7457;253;28052;27953;99;14565;3603;10962;4045;286;0
2002;Buenos Aires;168;Castelli;171;110;61;148514;24244;124270;0;869;48;122;1;90639;55525;2350;0;0;0;202;329;0;19198;5293;2387;2848;58;2696;2116;580;11138;4355;6783;71;1353;0
2002;Buenos Aires;210;Chacabuco;760;673;87;187538;77526;110013;0;247;244;512;4;104405;82624;0;0;0;0;712;1023;0;156291;41796;17463;21013;3321;78487;78413;74;24015;3378;20637;11992;760;0
2002;Buenos Aires;218;Chascomús;734;540;194;333769;107647;226122;0;455;235;496;3;163176;169044;0;0;0;0;764;1182;0;48863;12877;7932;4729;216;8771;6499;2272;26216;4086;22130;999;1968;0
2002;Buenos Aires;224;Chivilcoy;699;606;93;203485;78751;124734;0;291;208;487;4;101522;100047;0;0;0;0;853;1121;0;164052;55563;16240;38908;415;87290;86281;1009;19775;4230;15545;1425;996;0
2002;Buenos Aires;175;Colón;404;379;25;81222;41565;39657;0;201;132;268;4;46850;33723;0;0;0;0;236;309;0;78806;25206;10034;14397;775;41937;41920;17;9972;398;9575;1691;113;0
2002;Buenos Aires;182;Coronel de Marina Leonardo Rosales;136;81;55;104612;19821;84791;0;769;36;98;2;45782;51271;3500;0;0;0;159;228;0;56072;28276;100;18758;9418;0;0;0;27780;14829;12951;16;50;0
2002;Buenos Aires;189;Coronel Dorrego;547;275;272;544227;61988;482239;0;995;166;370;11;290142;246060;7911;0;0;0;437;879;0;361498;213564;2745;140374;70445;50586;4540;46046;91479;59795;31684;5870;627;0
2002;Buenos Aires;196;Coronel Pringles;622;359;263;473821;80544;393277;0;762;183;433;6;225530;239863;8428;0;0;0;499;1026;0;234691;96112;2187;88833;5092;41514;7870;33644;96904;33811;63093;161;37;0
2002;Buenos Aires;203;Coronel Suárez;986;670;316;608598;112865;495733;0;617;234;741;11;297548;291439;6210;0;0;0;894;1787;0;426064;169648;12324;136188;21137;96585;49553;47032;158028;41107;116921;1803;142;0
2002;Buenos Aires;231;Daireaux;552;415;137;303980;71384;232596;0;551;160;390;2;186615;111415;0;0;0;0;416;740;0;136014;35391;13559;20200;1633;43800;32135;11665;53602;11721;41881;3221;126;0
2002;Buenos Aires;238;Dolores;163;106;57;134157;22162;111995;0;823;44;117;2;45576;88536;46;0;0;0;128;229;0;14127;929;677;50;202;127;60;67;12943;261;12682;128;1345;0
2002;Buenos Aires;245;Ensenada;5;4;1;1684;1126;558;0;337;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
2002;Buenos Aires;252;Escobar;152;151;1;2873;1699;1174;0;19;93;59;0;610;769;0;0;0;0;411;493;0;1513;15;0;15;0;85;85;0;519;242;278;893;3;0
2002;Buenos Aires;260;Esteban Echeverría;8;8;0;467;467;0;0;58;2;4;2;0;91;2;0;0;0;15;17;0;67;0;0;0;0;0;0;0;0;0;0;67;2;0
2002;Buenos Aires;266;Exaltación de la Cruz;233;216;17;45091;19038;26053;0;194;74;159;0;29454;15637;0;0;0;0;567;688;0;36309;11175;3316;7859;0;18426;17388;1038;6167;1148;5019;541;243;0
2002;Buenos Aires;270;Ezeiza;22;20;2;2540;360;2180;0;115;10;12;0;104;243;0;0;0;0;40;78;0;527;78;78;0;0;0;0;0;240;90;150;209;0;0
2002;Buenos Aires;274;Florencio Varela;188;188;0;3005;3005;0;0;16;23;164;1;692;1856;0;0;0;0;440;719;0;1140;275;0;275;0;90;90;0;0;0;0;775;2;0
2002;Buenos Aires;277;Florentino Ameghino;182;102;80;161951;21793;140159;0;890;69;111;2;110130;49052;2770;0;0;0;291;540;0;66132;14676;8683;5662;331;20684;19364;1320;29677;8199;21478;1096;659;0
2002;Buenos Aires;280;General Alvarado;209;144;65;132808;22005;110803;0;635;95;107;7;93509;34961;4338;0;0;0;367;610;0;108138;44164;8399;34479;1286;22130;3572;18559;34670;4971;29700;7173;15;0
2002;Buenos Aires;287;General Alvear;388;277;111;280863;49310;231553;0;724;108;279;1;151221;129512;130;0;0;0;438;647;0;38461;7267;4763;1870;634;5248;3937;1311;25840;4124;21716;106;2245;0
2002;Buenos Aires;294;General Arenales;630;557;73;134327;65034;69292;0;213;141;484;5;62487;68517;2364;0;0;0;389;691;0;139746;57611;21797;24104;11710;71959;71959;0;9056;1440;7617;1121;413;0
2002;Buenos Aires;301;General Belgrano;294;209;85;164897;27551;137346;0;561;100;194;0;103458;61439;0;0;0;0;358;554;0;37992;10894;6463;4381;50;7532;6191;1341;18609;2657;15952;957;94;0
2002;Buenos Aires;308;General Guido;298;191;107;197039;43349;153690;0;661;73;224;1;78053;117023;1963;0;0;0;221;426;0;15192;2119;1549;465;105;162;0;162;12551;1086;11465;360;213;0
2002;Buenos Aires;315;General Juan Madariaga;349;221;128;249328;37422;211906;0;714;88;261;0;109025;140303;0;0;0;0;490;739;0;40025;8982;4876;3830;276;4727;1380;3347;25644;2840;22804;673;4830;0
2002;Buenos Aires;322;General La Madrid;389;209;180;329852;49162;280690;0;848;97;288;4;162198;166089;0;0;0;0;408;788;0;142818;39960;3656;32875;3429;32079;12931;19148;69581;14151;55430;1198;20;0
2002;Buenos Aires;329;General Las Heras;239;221;18;47456;32398;15058;0;199;91;147;1;26331;20859;267;0;0;0;276;419;0;10058;1476;308;1168;0;1119;1039;80;6949;1559;5390;515;39;0
2002;Buenos Aires;336;General Lavalle;203;99;104;227047;21410;205637;0;1118;65;137;1;138809;87733;505;0;0;0;245;378;0;11633;602;437;95;70;130;60;70;10239;1485;8754;662;2754;0
2002;Buenos Aires;343;General Paz;398;351;47;99389;53637;45752;0;250;86;311;1;37171;62120;98;0;0;0;403;559;0;10566;1639;837;782;20;1241;934;307;7512;2314;5198;175;30;0
2002;Buenos Aires;351;General Pinto;362;264;98;239097;43205;195892;0;660;106;255;1;147172;90479;1446;0;0;0;604;884;0;146392;43927;21160;22518;250;57104;56943;161;44954;10785;34169;408;583;0
2002;Buenos Aires;357;General Pueyrredón;456;390;66;113138;31928;81210;0;248;183;269;4;82671;29249;1219;0;0;0;1317;1786;0;79251;28454;7353;21101;0;13863;3427;10437;26435;4329;22106;10499;473;0
2002;Buenos Aires;364;General Rodríguez;66;58;8;20775;7089;13686;0;315;31;35;0;14158;4986;0;0;0;0;164;300;0;8786;2021;806;935;280;1306;1196;110;5149;992;4157;310;437;0
2002;Buenos Aires;371;General San Martín;6;6;0;76;76;0;0;13;3;2;1;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Buenos Aires;385;General Viamonte;460;376;84;163532;56534;106999;0;356;134;324;2;63269;87778;0;0;0;0;409;623;0;77535;22843;7514;10003;5326;46825;46205;620;7313;3054;4259;555;819;0
2002;Buenos Aires;392;General Villegas;787;509;278;595146;102471;492675;0;756;252;530;5;382697;206374;1490;0;0;0;1281;2032;0;404001;92965;41188;49911;1866;146084;134520;11564;163503;29191;134312;1450;129;0
2002;Buenos Aires;399;Guaminí;604;417;187;392614;78017;314597;0;650;152;443;9;190313;185793;13648;0;0;0;535;974;0;286538;81442;10917;61838;8687;54999;27980;27019;147876;50815;97060;2222;814;0
2002;Buenos Aires;406;Hipólito Yrigoyen;340;272;68;130118;33039;97079;0;383;95;240;5;81955;48046;117;0;0;0;218;420;0;51099;18039;7703;10032;304;18556;16302;2254;13670;4889;8781;834;488;0
2002;Buenos Aires;408;Hurlingham;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Buenos Aires;410;Ituzaingó;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Buenos Aires;412;"José C, Paz";23;23;0;75;75;0;0;3;0;23;0;0;75;0;0;0;0;31;64;0;45;0;0;0;0;0;0;0;0;0;0;45;1;0
2002;Buenos Aires;413;Junín;580;504;76;167733;76975;90758;0;289;157;419;4;90425;74748;0;0;0;0;696;955;0;130708;42794;14047;19580;9168;67949;66892;1057;15752;2890;12862;4213;695;0
2002;Buenos Aires;420;La Costa;21;21;0;1439;1439;0;0;69;3;17;1;44;1386;0;0;0;0;20;35;0;58;0;0;0;0;0;0;0;0;0;0;58;60;0
2002;Buenos Aires;427;La Matanza;72;71;1;20899;3965;16934;0;290;25;44;3;19156;1535;208;0;0;0;157;248;0;5212;1062;382;630;50;509;209;300;3257;2997;260;384;86;0
2002;Buenos Aires;434;Lanús;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Buenos Aires;441;La Plata;1183;1166;17;43247;28170;15077;0;37;196;983;4;15634;26945;669;0;0;0;3698;4636;0;9333;1208;696;426;86;1036;505;531;3058;1013;2045;4032;119;0
2002;Buenos Aires;448;Laprida;380;206;174;336780;42696;294083;0;886;108;265;7;161183;152388;16099;0;0;0;337;669;0;80110;18547;2099;15155;1293;7378;2896;4482;54009;12231;41778;177;216;0
2002;Buenos Aires;455;Las Flores;640;500;140;291235;74978;216257;0;455;192;445;3;148715;142241;200;0;0;0;548;922;0;41106;8314;5182;2959;173;7239;5031;2208;24459;2586;21873;1095;61;0
2002;Buenos Aires;462;"Leandro N, Alem";315;241;74;145897;36189;109709;0;463;71;243;1;75504;66678;0;0;0;0;361;561;0;97142;33602;13517;19101;984;45673;45673;0;16285;6500;9785;1583;21;0
2002;Buenos Aires;466;Lezama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Buenos Aires;469;Lincoln;1217;995;222;561364;125008;436357;0;461;284;924;9;359670;195111;6569;0;0;0;1187;1837;0;266368;69978;27715;40541;1722;104164;98159;6005;89105;16588;72517;3122;126;0
2002;Buenos Aires;476;Lobería;544;336;208;356304;67249;289054;0;655;228;310;6;238338;116092;1874;0;0;0;691;1307;0;292702;124508;18962;99682;5865;73318;9365;63953;88247;19833;68414;6629;194;0
2002;Buenos Aires;483;Lobos;605;538;67;140638;65902;74736;0;232;202;401;2;86311;54207;120;0;0;0;941;1237;0;58839;13491;6698;6691;102;17617;16422;1195;27176;3785;23391;556;727;0
2002;Buenos Aires;490;Lomas de Zamora;2;2;0;515;515;0;0;258;0;0;2;0;0;515;0;0;0;44;49;0;92;15;0;15;0;0;0;0;77;77;0;0;25;0
2002;Buenos Aires;497;Luján;90;74;16;26861;12122;14739;0;298;36;52;2;13683;12784;0;0;0;0;170;254;0;20426;6494;3155;3279;60;5065;4282;783;7907;1504;6403;960;71;0
2002;Buenos Aires;505;Magdalena;529;436;93;179755;64211;115545;0;340;118;406;5;87982;88526;3248;0;0;0;710;940;0;22031;3812;3588;190;35;1626;354;1272;15972;3740;12233;622;2338;0
2002;Buenos Aires;511;Maipú;228;109;119;243932;27200;216732;0;1070;59;169;0;97367;146565;0;0;0;0;295;481;0;35439;6080;3366;2714;0;3026;556;2470;26208;1886;24322;125;911;0
2002;Buenos Aires;515;Malvinas Argentinas;14;14;0;18;18;0;0;1;2;12;0;0;15;0;0;0;0;12;21;0;6;0;0;0;0;0;0;0;0;0;0;6;0;0
2002;Buenos Aires;518;Mar Chiquita;389;251;138;302173;46446;255727;0;777;132;253;4;201337;91869;0;0;0;0;516;866;0;87579;14524;8622;5715;187;4320;83;4237;67526;6067;61459;1209;249;0
2002;Buenos Aires;525;Marcos Paz;284;276;8;27975;18540;9435;0;99;75;207;2;9942;17830;204;0;0;0;521;857;0;11296;2954;692;2170;92;2529;2269;260;4892;2661;2231;922;120;0
2002;Buenos Aires;532;Mercedes;309;269;40;82472;37304;45168;0;267;92;217;0;43886;38586;0;0;0;0;528;687;0;35829;8905;3827;4860;217;11840;10485;1355;13282;3764;9519;1803;262;0
2002;Buenos Aires;539;Merlo;55;55;0;1124;1124;0;0;20;6;49;0;170;954;0;0;0;0;80;126;0;1071;301;12;261;28;221;221;0;297;220;77;252;4;0
2002;Buenos Aires;547;Monte;290;219;71;140841;37317;103524;0;486;92;195;3;87748;51926;0;0;0;0;510;680;0;41059;8648;3832;4571;245;7743;7407;336;23871;5552;18319;798;1084;0
2002;Buenos Aires;553;Monte Hermoso;4;1;3;19695;220;19475;0;4924;2;2;0;0;1640;0;0;0;0;4;19;0;7694;0;0;0;0;0;0;0;7660;1240;6420;34;0;0
2002;Buenos Aires;560;Moreno;105;105;0;397;397;0;0;4;13;91;1;41;329;0;0;0;0;234;248;0;199;0;0;0;0;0;0;0;0;0;0;199;0;0
2002;Buenos Aires;568;Morón;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Buenos Aires;574;Navarro;478;406;72;138702;61808;76895;0;290;134;341;3;60057;77070;0;0;0;0;789;1065;0;53304;12285;3868;8362;55;17009;16714;295;23190;5532;17658;821;348;0
2002;Buenos Aires;581;Necochea;569;337;232;411192;70541;340652;0;723;176;386;7;208420;198368;0;0;0;0;648;1049;0;317592;151151;12343;135587;3222;103985;10284;93702;57515;15271;42244;4941;93;0
2002;Buenos Aires;588;9 de julio;1069;886;183;373746;125619;248127;0;350;286;776;7;184120;182510;4876;0;0;0;817;1260;0;145421;43630;15456;25165;3010;62994;60942;2052;38200;7350;30850;596;730;0
2002;Buenos Aires;595;Olavarría;959;627;332;707953;120873;587080;0;738;266;686;7;372115;321293;14215;0;0;0;952;1626;0;173330;47010;7975;35428;3607;41892;31683;10210;83689;16651;67039;739;616;0
2002;Buenos Aires;602;Patagones;952;410;542;1271443;92301;1179143;0;1336;189;757;6;394208;861723;13915;0;0;0;694;1414;0;330701;145991;397;130198;15396;2733;50;2683;175393;134056;41337;6584;504685;0
2002;Buenos Aires;609;Pehuajó;1003;819;184;496943;124109;372834;0;495;281;717;5;322044;172370;2529;0;0;0;764;1280;0;215666;68936;24395;41132;3409;91685;84316;7369;54234;7717;46518;812;4243;0
2002;Buenos Aires;616;Pellegrini;193;123;70;149599;26231;123368;0;775;70;120;3;102701;44996;1902;0;0;0;268;492;0;128388;17740;7940;8748;1052;29704;9365;20339;80227;25229;54998;718;553;0
2002;Buenos Aires;623;Pergamino;1116;983;133;284387;134197;150190;0;255;392;711;13;168382;111729;1792;0;0;0;938;1270;0;275143;65628;25224;37236;3168;174138;173810;328;24606;3323;21283;10772;885;0
2002;Buenos Aires;630;Pila;274;165;109;249420;33990;215431;0;910;93;181;0;154822;94599;0;0;0;0;268;435;0;18000;2641;1214;1427;0;1576;1446;130;13779;832;12947;4;318;0
2002;Buenos Aires;638;Pilar;101;101;0;1622;1622;0;0;16;18;83;0;1003;618;0;0;0;0;420;511;0;1185;120;25;95;0;95;95;0;545;6;539;426;0;0
2002;Buenos Aires;644;Pinamar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Buenos Aires;648;Presidente Perón;31;30;1;3100;2420;680;0;100;19;12;0;1254;883;0;0;0;0;42;60;0;1592;650;0;650;0;675;675;0;262;4;258;5;0;0
2002;Buenos Aires;651;Puán;882;569;313;545754;144759;400995;0;619;209;666;7;217903;323478;2877;0;0;0;638;1101;0;241225;113689;367;88094;25228;8174;1941;6233;118154;70718;47436;1209;34553;0
2002;Buenos Aires;655;Punta Indio;224;149;75;125628;25789;99839;0;561;81;142;1;61512;61116;3000;0;0;0;259;408;0;4583;742;476;85;181;35;0;35;3232;397;2835;574;1931;0
2002;Buenos Aires;658;Quilmes;6;6;0;37;37;0;0;6;3;3;0;0;10;0;0;0;0;21;27;0;28;0;0;0;0;0;0;0;0;0;0;28;0;0
2002;Buenos Aires;665;Ramallo;310;265;45;87999;37009;50990;0;284;90;220;0;50122;37877;0;0;0;0;300;394;0;88465;20443;6879;13114;450;59636;59387;249;2998;188;2810;5388;219;0
2002;Buenos Aires;672;Rauch;844;652;192;358482;112542;245940;0;425;206;636;2;169373;188713;0;0;0;0;673;1043;0;33635;5401;2896;2048;457;1962;394;1568;26034;4895;21139;238;269;0
2002;Buenos Aires;679;Rivadavia;587;393;194;364947;68880;296068;0;622;231;346;10;228845;121474;14256;0;0;0;660;1023;0;226827;49515;28194;20307;1014;82015;58316;23699;93802;26878;66924;1495;53;0
2002;Buenos Aires;686;Rojas;583;493;90;183217;63832;119385;0;314;140;434;9;96601;81779;4819;0;0;0;481;736;0;182807;53080;23447;27365;2268;92856;92846;10;16878;1954;14924;19993;441;0
2002;Buenos Aires;693;Roque Pérez;455;387;68;135947;38799;97149;0;299;97;357;1;49325;86521;101;0;0;0;496;671;0;33406;13219;6101;7051;67;14043;13720;323;5676;960;4716;469;1473;0
2002;Buenos Aires;700;Saavedra;566;371;195;346156;85493;260663;0;612;127;436;3;141513;203839;347;0;0;0;441;816;0;215572;91193;3650;75676;11867;30638;8638;22000;92809;52780;40029;932;22;0
2002;Buenos Aires;707;Saladillo;1244;1148;96;291436;110043;181393;0;234;260;978;6;164755;122166;4279;0;0;0;1153;1532;0;120782;37904;15967;21624;313;54345;49259;5086;27693;2439;25255;841;704;0
2002;Buenos Aires;721;Salliqueló;209;171;38;90134;30520;59614;0;431;57;149;3;50870;37173;2091;0;0;0;161;245;0;44701;9799;2102;6768;929;5173;1280;3893;29718;16898;12820;11;15;0
2002;Buenos Aires;714;Salto;516;447;69;139423;52138;87285;0;270;168;348;0;79663;59760;0;0;0;0;372;548;0;146478;43598;18850;23518;1230;81531;81508;23;14071;1256;12815;7279;135;0
2002;Buenos Aires;728;San Andrés de Giles;250;198;52;89309;29182;60127;0;357;77;170;3;43418;45639;199;0;0;0;393;553;0;69593;24408;7288;17065;55;39024;37593;1431;5892;1692;4200;270;203;0
