;Cantidad de EAPs;Año del censo;Partido;Tamaño EAPs
102;0.0;2018;Quilmes;Pequeñas (<=500 ha)
103;146.0;2018;Ramallo;Pequeñas (<=500 ha)
104;429.0;2018;Rauch;Pequeñas (<=500 ha)
105;146.0;2018;Rivadavia;Pequeñas (<=500 ha)
106;327.0;2018;Rojas;Pequeñas (<=500 ha)
107;186.0;2018;Roque Pérez;Pequeñas (<=500 ha)
108;289.0;2018;Saavedra;Pequeñas (<=500 ha)
109;489.0;2018;Saladillo;Pequeñas (<=500 ha)
110;116.0;2018;Salliqueló;Pequeñas (<=500 ha)
111;280.0;2018;Salto;Pequeñas (<=500 ha)
112;108.0;2018;San Andrés de Giles;Pequeñas (<=500 ha)
113;88.0;2018;San Antonio de Areco;Pequeñas (<=500 ha)
114;147.0;2018;San Cayetano;Pequeñas (<=500 ha)
115;57.0;2018;San Fernando;Pequeñas (<=500 ha)
116;;2018;San Isidro;Pequeñas (<=500 ha)
117;0.0;2018;San Miguel;Pequeñas (<=500 ha)
118;154.0;2018;San Nicolás;Pequeñas (<=500 ha)
119;329.0;2018;San Pedro;Pequeñas (<=500 ha)
120;197.0;2018;San Vicente;Pequeñas (<=500 ha)
121;105.0;2018;Suipacha;Pequeñas (<=500 ha)
122;298.0;2018;Tandil;Pequeñas (<=500 ha)
123;147.0;2018;Tapalqué;Pequeñas (<=500 ha)
124;45.0;2018;Tigre;Pequeñas (<=500 ha)
125;66.0;2018;Tordillo;Pequeñas (<=500 ha)
126;212.0;2018;Tornquist;Pequeñas (<=500 ha)
127;179.0;2018;Trenque Lauquen;Pequeñas (<=500 ha)
128;282.0;2018;Tres Arroyos;Pequeñas (<=500 ha)
129;0.0;2018;Tres de Febrero;Pequeñas (<=500 ha)
130;100.0;2018;Tres Lomas;Pequeñas (<=500 ha)
131;433.0;2018;25 de mayo;Pequeñas (<=500 ha)
132;;2018;Vicente López;Pequeñas (<=500 ha)
133;;2018;Villa Gesell;Pequeñas (<=500 ha)
134;310.0;2018;Villarino;Pequeñas (<=500 ha)
135;31.0;2018;Zárate;Pequeñas (<=500 ha)
136;38344.0;2002;Buenos Aires;Pequeñas (<=500 ha)
137;545.0;2002;Adolfo Alsina;Pequeñas (<=500 ha)
138;166.0;2002;Adolfo Gonzales Chaves;Pequeñas (<=500 ha)
139;236.0;2002;Alberti;Pequeñas (<=500 ha)
140;40.0;2002;Almirante Brown;Pequeñas (<=500 ha)
141;148.0;2002;Arrecifes;Pequeñas (<=500 ha)
142;18.0;2002;Avellaneda;Pequeñas (<=500 ha)
143;608.0;2002;Ayacucho;Pequeñas (<=500 ha)
144;559.0;2002;Azul;Pequeñas (<=500 ha)
145;156.0;2002;Bahía Blanca;Pequeñas (<=500 ha)
146;375.0;2002;Balcarce;Pequeñas (<=500 ha)
147;161.0;2002;Baradero;Pequeñas (<=500 ha)
148;289.0;2002;Benito Juárez;Pequeñas (<=500 ha)
149;90.0;2002;Berazategui;Pequeñas (<=500 ha)
150;106.0;2002;Berisso;Pequeñas (<=500 ha)
151;1269.0;2002;Bolívar;Pequeñas (<=500 ha)
152;516.0;2002;Bragado;Pequeñas (<=500 ha)
153;266.0;2002;Brandsen;Pequeñas (<=500 ha)
154;112.0;2002;Campana;Pequeñas (<=500 ha)
155;183.0;2002;Cañuelas;Pequeñas (<=500 ha)
156;135.0;2002;Capitán Sarmiento;Pequeñas (<=500 ha)
157;570.0;2002;Carlos Casares;Pequeñas (<=500 ha)
158;554.0;2002;Carlos Tejedor;Pequeñas (<=500 ha)
159;162.0;2002;Carmen de Areco;Pequeñas (<=500 ha)
160;110.0;2002;Castelli;Pequeñas (<=500 ha)
161;673.0;2002;Chacabuco;Pequeñas (<=500 ha)
162;540.0;2002;Chascomús;Pequeñas (<=500 ha)
163;606.0;2002;Chivilcoy;Pequeñas (<=500 ha)
164;379.0;2002;Colón;Pequeñas (<=500 ha)
165;81.0;2002;Coronel de Marina Leonardo Rosales;Pequeñas (<=500 ha)
166;275.0;2002;Coronel Dorrego;Pequeñas (<=500 ha)
167;359.0;2002;Coronel Pringles;Pequeñas (<=500 ha)
168;670.0;2002;Coronel Suárez;Pequeñas (<=500 ha)
169;415.0;2002;Daireaux;Pequeñas (<=500 ha)
170;106.0;2002;Dolores;Pequeñas (<=500 ha)
171;4.0;2002;Ensenada;Pequeñas (<=500 ha)
172;151.0;2002;Escobar;Pequeñas (<=500 ha)
173;8.0;2002;Esteban Echeverría;Pequeñas (<=500 ha)
174;216.0;2002;Exaltación de la Cruz;Pequeñas (<=500 ha)
175;20.0;2002;Ezeiza;Pequeñas (<=500 ha)
176;188.0;2002;Florencio Varela;Pequeñas (<=500 ha)
177;102.0;2002;Florentino Ameghino;Pequeñas (<=500 ha)
178;144.0;2002;General Alvarado;Pequeñas (<=500 ha)
179;277.0;2002;General Alvear;Pequeñas (<=500 ha)
180;557.0;2002;General Arenales;Pequeñas (<=500 ha)
181;209.0;2002;General Belgrano;Pequeñas (<=500 ha)
182;191.0;2002;General Guido;Pequeñas (<=500 ha)
183;221.0;2002;General Juan Madariaga;Pequeñas (<=500 ha)
184;209.0;2002;General La Madrid;Pequeñas (<=500 ha)
185;221.0;2002;General Las Heras;Pequeñas (<=500 ha)
186;99.0;2002;General Lavalle;Pequeñas (<=500 ha)
187;351.0;2002;General Paz;Pequeñas (<=500 ha)
188;264.0;2002;General Pinto;Pequeñas (<=500 ha)
189;390.0;2002;General Pueyrredón;Pequeñas (<=500 ha)
190;58.0;2002;General Rodríguez;Pequeñas (<=500 ha)
191;6.0;2002;General San Martín;Pequeñas (<=500 ha)
192;376.0;2002;General Viamonte;Pequeñas (<=500 ha)
193;509.0;2002;General Villegas;Pequeñas (<=500 ha)
194;417.0;2002;Guaminí;Pequeñas (<=500 ha)
195;272.0;2002;Hipólito Yrigoyen;Pequeñas (<=500 ha)
196;0.0;2002;Hurlingham;Pequeñas (<=500 ha)
197;0.0;2002;Ituzaingó;Pequeñas (<=500 ha)
198;23.0;2002;José C, Paz;Pequeñas (<=500 ha)
199;504.0;2002;Junín;Pequeñas (<=500 ha)
200;21.0;2002;La Costa;Pequeñas (<=500 ha)
201;71.0;2002;La Matanza;Pequeñas (<=500 ha)
202;0.0;2002;Lanús;Pequeñas (<=500 ha)
203;1166.0;2002;La Plata;Pequeñas (<=500 ha)
204;206.0;2002;Laprida;Pequeñas (<=500 ha)
205;500.0;2002;Las Flores;Pequeñas (<=500 ha)
206;241.0;2002;Leandro N, Alem;Pequeñas (<=500 ha)
207;;2002;Lezama;Pequeñas (<=500 ha)
208;995.0;2002;Lincoln;Pequeñas (<=500 ha)
209;336.0;2002;Lobería;Pequeñas (<=500 ha)
210;538.0;2002;Lobos;Pequeñas (<=500 ha)
211;2.0;2002;Lomas de Zamora;Pequeñas (<=500 ha)
212;74.0;2002;Luján;Pequeñas (<=500 ha)
213;436.0;2002;Magdalena;Pequeñas (<=500 ha)
214;109.0;2002;Maipú;Pequeñas (<=500 ha)
215;14.0;2002;Malvinas Argentinas;Pequeñas (<=500 ha)
216;251.0;2002;Mar Chiquita;Pequeñas (<=500 ha)
217;276.0;2002;Marcos Paz;Pequeñas (<=500 ha)
218;269.0;2002;Mercedes;Pequeñas (<=500 ha)
219;55.0;2002;Merlo;Pequeñas (<=500 ha)
220;219.0;2002;Monte;Pequeñas (<=500 ha)
221;1.0;2002;Monte Hermoso;Pequeñas (<=500 ha)
222;105.0;2002;Moreno;Pequeñas (<=500 ha)
223;0.0;2002;Morón;Pequeñas (<=500 ha)
224;406.0;2002;Navarro;Pequeñas (<=500 ha)
225;337.0;2002;Necochea;Pequeñas (<=500 ha)
226;886.0;2002;9 de julio;Pequeñas (<=500 ha)
227;627.0;2002;Olavarría;Pequeñas (<=500 ha)
228;410.0;2002;Patagones;Pequeñas (<=500 ha)
229;819.0;2002;Pehuajó;Pequeñas (<=500 ha)
230;123.0;2002;Pellegrini;Pequeñas (<=500 ha)
231;983.0;2002;Pergamino;Pequeñas (<=500 ha)
232;165.0;2002;Pila;Pequeñas (<=500 ha)
233;101.0;2002;Pilar;Pequeñas (<=500 ha)
234;0.0;2002;Pinamar;Pequeñas (<=500 ha)
235;30.0;2002;Presidente Perón;Pequeñas (<=500 ha)
236;569.0;2002;Puán;Pequeñas (<=500 ha)
237;149.0;2002;Punta Indio;Pequeñas (<=500 ha)
238;6.0;2002;Quilmes;Pequeñas (<=500 ha)
239;265.0;2002;Ramallo;Pequeñas (<=500 ha)
240;652.0;2002;Rauch;Pequeñas (<=500 ha)
241;393.0;2002;Rivadavia;Pequeñas (<=500 ha)
242;493.0;2002;Rojas;Pequeñas (<=500 ha)
243;387.0;2002;Roque Pérez;Pequeñas (<=500 ha)
244;371.0;2002;Saavedra;Pequeñas (<=500 ha)
245;1148.0;2002;Saladillo;Pequeñas (<=500 ha)
246;171.0;2002;Salliqueló;Pequeñas (<=500 ha)
247;447.0;2002;Salto;Pequeñas (<=500 ha)
248;198.0;2002;San Andrés de Giles;Pequeñas (<=500 ha)
249;104.0;2002;San Antonio de Areco;Pequeñas (<=500 ha)
250;208.0;2002;San Cayetano;Pequeñas (<=500 ha)
251;17.0;2002;San Fernando;Pequeñas (<=500 ha)
252;9.0;2002;San Isidro;Pequeñas (<=500 ha)
253;0.0;2002;San Miguel;Pequeñas (<=500 ha)
254;268.0;2002;San Nicolás;Pequeñas (<=500 ha)
255;583.0;2002;San Pedro;Pequeñas (<=500 ha)
256;148.0;2002;San Vicente;Pequeñas (<=500 ha)
257;215.0;2002;Suipacha;Pequeñas (<=500 ha)
258;417.0;2002;Tandil;Pequeñas (<=500 ha)
259;207.0;2002;Tapalqué;Pequeñas (<=500 ha)
260;35.0;2002;Tigre;Pequeñas (<=500 ha)
261;93.0;2002;Tordillo;Pequeñas (<=500 ha)
262;258.0;2002;Tornquist;Pequeñas (<=500 ha)
263;267.0;2002;Trenque Lauquen;Pequeñas (<=500 ha)
264;355.0;2002;Tres Arroyos;Pequeñas (<=500 ha)
265;5.0;2002;Tres de Febrero;Pequeñas (<=500 ha)
266;241.0;2002;Tres Lomas;Pequeñas (<=500 ha)
267;693.0;2002;25 de mayo;Pequeñas (<=500 ha)
268;4.0;2002;Vicente López;Pequeñas (<=500 ha)
269;3.0;2002;Villa Gesell;Pequeñas (<=500 ha)
270;583.0;2002;Villarino;Pequeñas (<=500 ha)
271;145.0;2002;Zárate;Pequeñas (<=500 ha)
272;62205.0;1988;Buenos Aires;Pequeñas (<=500 ha)
273;773.0;1988;Adolfo Alsina;Pequeñas (<=500 ha)
274;350.0;1988;Adolfo Gonzales Chaves;Pequeñas (<=500 ha)
275;413.0;1988;Alberti;Pequeñas (<=500 ha)
276;84.0;1988;Almirante Brown;Pequeñas (<=500 ha)
277;0.0;1988;Arrecifes;Pequeñas (<=500 ha)
278;57.0;1988;Avellaneda;Pequeñas (<=500 ha)
279;827.0;1988;Ayacucho;Pequeñas (<=500 ha)
280;718.0;1988;Azul;Pequeñas (<=500 ha)
281;223.0;1988;Bahía Blanca;Pequeñas (<=500 ha)
282;1139.0;1988;Balcarce;Pequeñas (<=500 ha)
283;340.0;1988;Baradero;Pequeñas (<=500 ha)
284;355.0;1988;Bartolomé Mitre;Pequeñas (<=500 ha)
285;497.0;1988;Benito Juárez;Pequeñas (<=500 ha)
286;214.0;1988;Berazategui;Pequeñas (<=500 ha)
287;84.0;1988;Berisso;Pequeñas (<=500 ha)
288;1698.0;1988;Bolívar;Pequeñas (<=500 ha)
289;872.0;1988;Bragado;Pequeñas (<=500 ha)
290;371.0;1988;Brandsen;Pequeñas (<=500 ha)
291;247.0;1988;Campana;Pequeñas (<=500 ha)
