Column1;Año del censo;Partido;Cultivo;Total
153;2002;Brandsen;Cereales;603
154;2002;Campana;Cereales;2361
155;2002;Cañuelas;Cereales;4425
156;2002;Capitán Sarmiento;Cereales;10652,6
157;2002;Carlos Casares;Cereales;23012,5
158;2002;Carlos Tejedor;Cereales;23685,5
159;2002;Carmen de Areco;Cereales;14657
160;2002;Castelli;Cereales;5293
161;2002;Chacabuco;Cereales;41796,3
162;2002;Chascomús;Cereales;12877
163;2002;Chivilcoy;Cereales;55562,7
164;2002;Colón;Cereales;25206
165;2002;Coronel de Marina Leonardo Rosales;Cereales;28276
166;2002;Coronel Dorrego;Cereales;213563,5
167;2002;Coronel Pringles;Cereales;96112
168;2002;Coronel Suárez;Cereales;169648
169;2002;Daireaux;Cereales;35391
170;2002;Dolores;Cereales;929
171;2002;Ensenada;Cereales;0
172;2002;Escobar;Cereales;15
173;2002;Esteban Echeverría;Cereales;0
174;2002;Exaltación de la Cruz;Cereales;11175
175;2002;Ezeiza;Cereales;78
176;2002;Florencio Varela;Cereales;275
177;2002;Florentino Ameghino;Cereales;14675,5
178;2002;General Alvarado;Cereales;44163,5
179;2002;General Alvear;Cereales;7267
180;2002;General Arenales;Cereales;57611
181;2002;General Belgrano;Cereales;10893,5
182;2002;General Guido;Cereales;2119
183;2002;General Juan Madariaga;Cereales;8982
184;2002;General La Madrid;Cereales;39960
185;2002;General Las Heras;Cereales;1476
186;2002;General Lavalle;Cereales;602
187;2002;General Paz;Cereales;1639
188;2002;General Pinto;Cereales;43927
189;2002;General Pueyrredón;Cereales;28453,7
190;2002;General Rodríguez;Cereales;2021
191;2002;General San Martín;Cereales;0
192;2002;General Viamonte;Cereales;22842,5
193;2002;General Villegas;Cereales;92964,5
194;2002;Guaminí;Cereales;81441,5
195;2002;Hipólito Yrigoyen;Cereales;18038,5
196;2002;Hurlingham;Cereales;0
197;2002;Ituzaingó;Cereales;0
198;2002;José C, Paz;Cereales;0
199;2002;Junín;Cereales;42794
200;2002;La Costa;Cereales;0
201;2002;La Matanza;Cereales;1062
202;2002;Lanús;Cereales;0
203;2002;La Plata;Cereales;1207,5
204;2002;Laprida;Cereales;18547
205;2002;Las Flores;Cereales;8313,5
206;2002;Leandro N, Alem;Cereales;33601,5
207;2002;Lezama;Cereales;
208;2002;Lincoln;Cereales;69977,5
209;2002;Lobería;Cereales;124508,1
210;2002;Lobos;Cereales;13490,5
211;2002;Lomas de Zamora;Cereales;15
212;2002;Luján;Cereales;6494
213;2002;Magdalena;Cereales;3812
214;2002;Maipú;Cereales;6080
215;2002;Malvinas Argentinas;Cereales;0
216;2002;Mar Chiquita;Cereales;14524,2
217;2002;Marcos Paz;Cereales;2953,5
218;2002;Mercedes;Cereales;8904,5
219;2002;Merlo;Cereales;301
220;2002;Monte;Cereales;8648
221;2002;Monte Hermoso;Cereales;0
222;2002;Moreno;Cereales;0
223;2002;Morón;Cereales;0
224;2002;Navarro;Cereales;12284,5
225;2002;Necochea;Cereales;151150,5
226;2002;9 de julio;Cereales;43630,3
227;2002;Olavarría;Cereales;47009,5
228;2002;Patagones;Cereales;145991
229;2002;Pehuajó;Cereales;68935,5
230;2002;Pellegrini;Cereales;17739,8
231;2002;Pergamino;Cereales;65627,8
232;2002;Pila;Cereales;2641
233;2002;Pilar;Cereales;120
234;2002;Pinamar;Cereales;0
235;2002;Presidente Perón;Cereales;650
236;2002;Puán;Cereales;113688,5
237;2002;Punta Indio;Cereales;742
238;2002;Quilmes;Cereales;0
239;2002;Ramallo;Cereales;20443
240;2002;Rauch;Cereales;5400,5
241;2002;Rivadavia;Cereales;49514,7
242;2002;Rojas;Cereales;53080,4
243;2002;Roque Pérez;Cereales;13219
244;2002;Saavedra;Cereales;91192,5
245;2002;Saladillo;Cereales;37903,5
246;2002;Salliqueló;Cereales;9799
247;2002;Salto;Cereales;43597,5
248;2002;San Andrés de Giles;Cereales;24408
249;2002;San Antonio de Areco;Cereales;28428,5
250;2002;San Cayetano;Cereales;79588,5
251;2002;San Fernando;Cereales;0
252;2002;San Isidro;Cereales;0
253;2002;San Miguel;Cereales;0
254;2002;San Nicolás;Cereales;14042
255;2002;San Pedro;Cereales;23208,6
256;2002;San Vicente;Cereales;0
257;2002;Suipacha;Cereales;8604
258;2002;Tandil;Cereales;109052,1
259;2002;Tapalqué;Cereales;2864
260;2002;Tigre;Cereales;0
261;2002;Tordillo;Cereales;426
262;2002;Tornquist;Cereales;76510
263;2002;Trenque Lauquen;Cereales;73424
264;2002;Tres Arroyos;Cereales;208850,9
265;2002;Tres de Febrero;Cereales;0
266;2002;Tres Lomas;Cereales;13991
267;2002;25 de mayo;Cereales;42407,5
268;2002;Vicente López;Cereales;0
269;2002;Villa Gesell;Cereales;0
270;2002;Villarino;Cereales;65831
271;2002;Zárate;Cereales;7432,5
272;1988;Buenos Aires;Cereales;3651207,8
273;1988;Adolfo Alsina;Cereales;121345,5
274;1988;Adolfo Gonzales Chaves;Cereales;71587,8
275;1988;Alberti;Cereales;31321,5
276;1988;Almirante Brown;Cereales;0
277;1988;Arrecifes;Cereales;
278;1988;Avellaneda;Cereales;0
279;1988;Ayacucho;Cereales;14465,5
280;1988;Azul;Cereales;62225,8
281;1988;Bahía Blanca;Cereales;34555
282;1988;Balcarce;Cereales;58836,4
283;1988;Baradero;Cereales;17697,5
284;1988;Bartolomé Mitre;Cereales;25016,5
