Año del censo;Provincia;Código del partido;Partido;EAPS pequeñas (<= 500ha);EAPS grandes (>500 ha);Total EAPS;Total de HA;Superficie promedio;HA ocupadas por EAPS pequeñas;HA ocupadas por EAPS grandes;EAPS en manos de Empresas;EAPS en manos de Personas Humanas;Superficie en manos de Empresas;Superficie en mano de Personas Humanas;Cantidad de Mujeres propietarias de EAPs;Cantidad de Hombres propietarios de EAPs;Mujeres Residentes (Personas Humanas);Mujeres Residente (Empresas);Mujeres Residentes del campo;Varones Residentes (Personas Humanas);Varones Residentes (Empresas);Varones Residentes del campo;Cantidad de hectáreas implantadas de Cereales;Cantidad de hectáreas implantadas de Oleaginosas;Cantidad de hectáreas implantadas de Forrajeras;Maiz para grano por hectárea;Trigo pan por hectárea;Soja por hectárea;Forrajeras anuales por hectáreas;Forrajeras perennes por hectáreas;Cantidad de hectareas dedicadas a Bosques y montes naturales;Proporcion de ha para bosques naturales e implantados respecto al total;Empleo;Prácticas orgánicasbiodinámicas/agroecológicas
2018;Provincia de Buenos Aires;161;Carmen de Areco;61;43;104;71119;684;12723;52033;50;50;46401;19014;10;40;28;76;104;55;159;214;12579;26554;5325;8604;"3330,2";"26553,7";"2157,5";"3167,4";"5332,8";"7,50%";384;0
2018;Provincia de Buenos Aires;168;Castelli;59;73;132;187488;1420;13456;128729;50;76;132061;42482;18;58;35;110;145;113;243;356;3890;5741;13566;"3293,5";596;4264;"7334,5";"6231,9";57;"0,03%";274;0
2018;Provincia de Buenos Aires;210;Chacabuco;350;66;416;149834;360;51801;83280;131;247;83613;53447;45;196;112;38;150;184;129;313;43436;75371;8903;"23631,1";18970;"75274,1";"3423,1";"5479,5";"344,7";"0,23%";369;0
2018;Provincia de Buenos Aires;218;Chascomús;334;154;488;250421;513;65828;171429;131;336;121548;109883;93;237;206;143;349;420;277;697;13060;14443;16545;"8596,3";"3259,7";12884;7730;"8814,5";"500,8";"0,20%";541;0
2018;Provincia de Buenos Aires;224;Chivilcoy;332;57;389;119530;307;48154;62176;91;267;53148;57232;39;227;153;31;184;333;65;398;38485;60034;5129;"21541,8";"15151,9";"60009,2";"1937,2";"3191,8";"818,5";"0,68%";317;8
2018;Provincia de Buenos Aires;175;Colón;216;29;245;68749;281;30429;36133;72;163;35240;28050;26;131;56;25;81;95;41;136;22437;37396;2742;"12597,7";"9385,5";"37396,1";539;2203;"111,1";"0,16%";139;0
2018;Provincia de Buenos Aires;182;Coronel de Marina Leonardo Rosales;79;35;114;85494;750;12106;51183;22;86;37206;33201;11;72;54;23;77;111;53;164;26970;0;21336;1451;11214;0;13290;8046;306;"0,36%";165;6
2018;Provincia de Buenos Aires;189;Coronel Dorrego;162;197;359;512588;1428;43545;469015;106;234;245229;231393;29;203;185;52;237;584;191;775;227055;66711;65992;"43264,5";71004;48597;"58521,3";7471;122;"0,02%";425;0
2018;Provincia de Buenos Aires;196;Coronel Pringles;292;213;505;458521;908;66795;383706;116;368;205587;224949;63;299;74;51;125;413;177;590;77627;48782;60813;"10424,7";50136;"33752,7";"53505,3";7308;"106,2";"0,02%";534;0
2018;Provincia de Buenos Aires;203;Coronel Suárez;454;257;711;516911;727;90811;400907;168;501;236473;224800;94;385;196;220;416;582;424;1006;141403;105887;84345;"25518,4";"84355,1";"79794,5";"51658,5";"32686,7";400;"0,08%";856;10
