Año del censo;Provincia;Código del partido;Partido;EAPS pequeñas (<= 500ha);EAPS grandes (>500 ha);Total EAPS;Total de HA;Superficie promedio;HA ocupadas por EAPS pequeñas;HA ocupadas por EAPS grandes;EAPS en manos de Empresas;EAPS en manos de Personas Humanas;Superficie en manos de Empresas;Superficie en mano de Personas Humanas;Cantidad de Mujeres propietarias de EAPs;Cantidad de Hombres propietarios de EAPs;Mujeres Residentes (Personas Humanas);Mujeres Residente (Empresas);Mujeres Residentes del campo;Varones Residentes (Personas Humanas);Varones Residentes (Empresas);Varones Residentes del campo;Cantidad de hectáreas implantadas de Cereales;Cantidad de hectáreas implantadas de Oleaginosas;Cantidad de hectáreas implantadas de Forrajeras;Maiz para grano por hectárea;Trigo pan por hectárea;Soja por hectárea;Forrajeras anuales por hectáreas;Forrajeras perennes por hectáreas;Cantidad de hectareas dedicadas a Bosques y montes naturales;Proporcion de ha para bosques naturales e implantados respecto al total;Empleo;Prácticas orgánicasbiodinámicas/agroecológicas
2018;Provincia de Buenos Aires;672;Rauch;429;192;621;364028;586;81954;269522;139;451;158853;165426;118;331;220;162;382;492;253;745;7235;8244;23401;"5349,5";923;"4471,5";"19013,5";4387;"602,5";"0,17%";645;35
2018;Provincia de Buenos Aires;679;Rivadavia;146;148;294;313383;1066;32663;252160;112;166;183663;97246;25;139;90;159;249;238;333;571;81377;129631;32131;"55791,6";"20032,1";"119427,3";17978;14153;86;"0,03%";733;0
2018;Provincia de Buenos Aires;686;Rojas;327;87;414;176633;427;48658;104789;83;305;89746;65325;41;256;116;103;219;195;161;356;58145;89189;10550;"33371,4";"22358,7";"88859,7";4307;"6242,5";"244,8";"0,14%";513;0
2018;Provincia de Buenos Aires;693;Roque Pérez;186;48;234;108460;464;26180;65548;46;176;55921;42533;33;142;106;73;179;178;121;299;14540;24825;4989;"9667,9";"4609,5";"23584,8";"1810,2";"3178,4";"539,8";"0,50%";491;0
2018;Provincia de Buenos Aires;700;Saavedra;289;167;456;292240;641;69384;204652;80;351;106178;156103;50;298;170;73;243;277;152;429;69445;24452;74023;10333;38116;17715;"61643,8";12379;664;"0,23%";507;15
2018;Provincia de Buenos Aires;707;Saladillo;489;75;564;170983;303;63748;107235;82;451;65708;78300;88;351;244;140;384;388;220;608;19666;31755;14198;"16736,9";2687;"30752,2";"8240,5";5957;"1379,8";"0,81%";429;11
2018;Provincia de Buenos Aires;721;Salliqueló;116;26;142;73989;521;21014;37677;24;106;41529;26586;17;87;8;22;30;56;52;108;11426;26853;18680;9621;801;18540;11926;6754;137;"0,19%";179;0
2018;Provincia de Buenos Aires;714;Salto;280;64;344;115353;335;34971;74882;95;232;59348;49409;37;193;72;35;107;177;72;249;40481;76220;3511;"19046,2";19758;"76107,5";2052;1459;"86,5";"0,07%";358;3
2018;Provincia de Buenos Aires;728;San Andrés de Giles;108;26;134;47901;357;14603;29812;52;78;33319;14232;11;65;38;53;91;81;91;172;24136;39244;6615;"11424,7";"11404,5";"39011,2";"982,5";"5632,6";"179,5";"0,37%";185;0
2018;Provincia de Buenos Aires;735;San Antonio de Areco;88;45;133;77299;581;16002;55254;53;69;34477;29944;14;53;43;107;150;74;244;318;29505;38796;5843;"16116,3";"12630,2";"38311,7";1544;4299;34;"0,04%";409;0
2018;Provincia de Buenos Aires;742;San Cayetano;147;131;278;246665;887;33807;191371;61;190;104235;120508;29;161;92;48;140;263;121;384;79200;74803;26378;"14392,5";"30379,6";"51185,1";12041;"14337,1";340;"0,14%";349;0
2018;Provincia de Buenos Aires;749;San Fernando;57;10;67;25454;380;7783;6081;4;50;8805;9672;6;43;14;0;14;77;0;77;0;0;140;0;0;0;140;0;"1662,5";"6,53%";6;0
2018;Provincia de Buenos Aires;756;San Isidro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Provincia de Buenos Aires;760;San Miguel;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2018;Provincia de Buenos Aires;763;San Nicolás;154;23;177;44189;250;23912;18702;31;142;12777;27847;22;114;50;11;61;184;17;201;10890;30631;799;3915;5525;"30615,7";141;658;28;"0,06%";59;0
2018;Provincia de Buenos Aires;770;San Pedro;329;42;371;92566;250;35452;47346;113;255;54950;30615;26;226;189;143;332;409;197;606;25033;49755;1358;"12213,7";"11767,3";"49246,3";"1121,5";"236,8";"190,7";"0,21%";902;6
2018;Provincia de Buenos Aires;778;San Vicente;197;18;215;40966;191;24380;14086;31;163;13083;25239;40;123;138;27;165;133;43;176;720;335;1798;575;145;335;"1163,7";634;0;0;114;0
2018;Provincia de Buenos Aires;784;Suipacha;105;41;146;118290;810;16869;50711;46;93;87411;26725;16;75;78;173;251;134;265;399;9394;19043;9644;5139;3809;"19042,8";4914;4730;68;"0,06%";291;0
2018;Provincia de Buenos Aires;791;Tandil;298;181;479;321930;672;57011;256497;173;257;188923;97665;48;197;222;407;629;387;621;1008;104982;121193;50927;"38040,9";"22448,6";"90159,5";"31802,7";"19124,6";"1259,2";"0,39%";1201;10
2018;Provincia de Buenos Aires;798;Tapalqué;147;143;290;353714;1220;33122;295064;83;191;169140;142996;57;130;108;123;231;227;296;523;9260;10792;23533;"6908,5";962;"7589,5";"10912,5";12620;"380,5";"0,11%";490;0
2018;Provincia de Buenos Aires;805;Tigre;45;0;45;2087;46;2087;0;3;19;30;403;1;17;16;0;16;92;0;92;0;0;0;0;0;0;0;0;"48,3";"2,31%";2;0
2018;Provincia de Buenos Aires;812;Tordillo;66;29;95;100541;1058;12310;66151;16;76;61622;27310;20;56;21;78;99;75;108;183;0;0;1241;0;0;0;860;381;0;0;112;0
2018;Provincia de Buenos Aires;819;Tornquist;212;198;410;374680;914;57539;282660;95;297;154284;184361;46;248;221;144;365;381;185;566;50557;4523;89040;6492;23652;1808;"75150,5";13889;1676;"0,45%";533;13
2018;Provincia de Buenos Aires;826;Trenque Lauquen;179;161;340;430227;1265;44478;354748;140;165;275574;94619;41;121;169;473;642;363;967;1330;89972;128401;86399;54704;"25316,5";"103980,9";46680;"39718,5";"167,4";"0,04%";1248;0
2018;Provincia de Buenos Aires;833;Tres Arroyos;282;269;551;477294;866;67574;409710;171;349;215390;231877;46;292;195;72;267;376;170;546;201100;170291;64100;"39078,5";"76115,5";"128099,7";"34230,5";"29869,1";"1988,6";"0,42%";625;13
2018;Provincia de Buenos Aires;840;Tres de Febrero;0;0;0;353;0;0;0;0;0;0;353;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0
2018;Provincia de Buenos Aires;847;Tres Lomas;100;28;128;86308;674;20097;54472;26;95;42102;28902;13;81;29;11;40;73;81;154;18721;37911;9480;"13903,5";2418;"25532,5";6745;2735;619;"0,72%";177;0
2018;Provincia de Buenos Aires;854;25 de mayo;433;170;603;381085;632;82597;292407;205;360;221812;109112;74;282;316;274;590;394;537;931;70461;107546;44495;"38977,1";26144;"104746,3";"18663,9";"25831,5";5662;"1,49%";1182;0
2018;Provincia de Buenos Aires;861;Vicente López;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Provincia de Buenos Aires;868;Villa Gesell;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Provincia de Buenos Aires;875;Villarino;310;322;632;849232;1344;70328;778904;127;463;381560;366823;62;388;290;139;429;595;377;972;28814;2423;113037;"3407,9";14978;0;76529;36508;"181846,7";"21,41%";854;5
2018;Provincia de Buenos Aires;882;Zárate;31;14;45;51472;1144;3569;39248;16;39;23181;10671;4;33;76;11;87;83;25;108;8225;15440;1437;4181;"3711,3";"15132,3";352;1085;467;"0,91%";105;0
2002;Provincia de Buenos Aires;6;Provincia de Buenos Aires;38344;12763;51107;25788670;505;5828911;19959758;14461;36262;13457692;11912495;0;0;43556;15813;59369;65009;26575;91584;4042566;3493022;4312182;"858769,8";"2801763,7";"2573962,7";"1325413,9";"2986768,2";"884827,3";0;41639;0
2002;Provincia de Buenos Aires;7;Adolfo Alsina;545;260;805;450109;559;123232;326878;182;613;148298;289727;0;0;701;161;862;1065;154;1219;131184;44916;152592;4719;101935;12462;"78015,5";"74576,5";"1295,3";0;442;0
2002;Provincia de Buenos Aires;14;Adolfo Gonzales Chaves;166;180;346;302586;875;36803;265783;119;227;165439;137147;0;0;205;86;291;368;214;582;81810;51348;76400;3069;69857;10074;16300;60100;"345,7";0;307;0
2002;Provincia de Buenos Aires;21;Alberti;236;51;287;117297;409;35430;81867;81;205;76073;41078;0;0;189;125;314;268;202;470;47040;47633;4334;"15975,4";"26396,5";"47502,3";1666;"2667,5";2674;0;185;0
2002;Provincia de Buenos Aires;28;Almirante Brown;40;0;40;388;10;388;0;20;19;0;152;0;0;42;0;42;67;2;69;0;0;10;0;0;0;0;"9,5";30;0;17;0
2002;Provincia de Buenos Aires;77;Arrecifes;148;44;192;83412;434;26356;57056;76;115;52670;26141;0;0;175;99;274;242;132;374;25385;49629;7367;"12697,5";12476;48987;1093;"6273,5";"734,7";0;184;0
2002;Provincia de Buenos Aires;35;Avellaneda;18;0;18;89;5;89;0;5;13;31;58;0;0;37;0;37;30;0;30;0;0;0;0;0;0;0;"0,1";"24,1";0;0;0
2002;Provincia de Buenos Aires;42;Ayacucho;608;327;935;585149;626;125579;459570;260;670;313419;262487;0;0;673;282;955;1150;455;1605;13383;8290;69757;5773;"7207,9";"1313,5";"13229,8";"56526,8";"426,5";0;749;0
2002;Provincia de Buenos Aires;49;Azul;559;329;888;685448;772;113401;572047;278;604;386232;281260;0;0;783;336;1119;1210;585;1795;101376;83747;100869;"19621,5";79785;69937;"23428,5";"77440,5";"730,2";0;1067;0
2002;Provincia de Buenos Aires;56;Bahía Blanca;156;110;266;214657;807;32923;181734;59;202;102259;106468;0;0;284;64;348;407;118;525;27100;140;58346;30;22962;70;39196;19150;7666;0;246;0
2002;Provincia de Buenos Aires;63;Balcarce;375;171;546;324689;595;60228;264461;234;302;216221;89877;0;0;480;304;784;711;545;1256;71399;42204;82681;"14319,3";"55248,9";"16470,5";11590;"71091,2";"2273,3";0;677;0
2002;Provincia de Buenos Aires;70;Baradero;161;47;208;68856;331;19130;49726;85;121;48132;20209;0;0;220;128;348;302;221;523;22318;33391;6488;"9277,7";12987;"32932,1";1395;"5093,2";"488,3";0;234;0
2002;Provincia de Buenos Aires;84;Benito Juárez;289;225;514;424063;825;58143;365920;161;352;187062;217362;0;0;411;160;571;697;298;995;48397;31013;64596;"5455,5";40377;11908;11474;"53121,5";"221,5";0;570;0
2002;Provincia de Buenos Aires;91;Berazategui;90;1;91;2671;29;1421;1250;9;82;0;1107;0;0;173;0;173;242;4;246;0;0;0;0;0;0;0;0;127;0;53;0
2002;Provincia de Buenos Aires;98;Berisso;106;2;108;7326;68;3671;3655;9;99;0;3797;0;0;98;1;99;115;1;116;0;0;61;0;0;0;0;61;"740,7";0;15;0
2002;Provincia de Buenos Aires;105;Bolívar;1269;215;1484;442143;298;168194;273949;300;1179;175202;265071;0;0;861;167;1028;1337;254;1591;21787;18133;57079;"6110,5";"14479,7";15324;"11083,5";"45995,9";"2093,4";0;596;0
2002;Provincia de Buenos Aires;112;Bragado;516;103;619;198917;321;72744;126173;156;462;81016;107164;0;0;352;99;451;548;178;726;58056;71626;19798;"16469,5";"33549,1";"71520,9";1618;"18180,2";"1622,6";0;244;0
2002;Provincia de Buenos Aires;119;Brandsen;266;50;316;97366;308;43920;53446;88;227;53447;42821;0;0;275;120;395;406;218;624;603;355;10993;443;160;40;3623;"7370,3";434;0;306;0
2002;Provincia de Buenos Aires;126;Campana;112;17;129;46737;362;10550;36187;35;93;33067;12986;0;0;154;106;260;235;169;404;2361;5734;631;559;1602;5634;310;321;"17571,4";0;210;0
2002;Provincia de Buenos Aires;134;Cañuelas;183;35;218;62164;285;27729;34435;62;154;28981;31653;0;0;95;109;204;200;160;360;4425;3406;5274;2042;2356;3221;"1067,5";4206;"429,8";0;0;0
2002;Provincia de Buenos Aires;140;Capitán Sarmiento;135;20;155;39567;255;15933;23634;41;114;21268;18299;0;0;64;91;155;113;183;296;10653;15705;6311;5028;5340;15705;1043;5268;527;0;219;0
2002;Provincia de Buenos Aires;147;Carlos Casares;570;99;669;223282;334;78210;145072;209;458;144009;75888;0;0;291;217;508;453;317;770;23013;26949;18530;7270;"14159,5";24302;6683;"11846,8";"602,6";0;351;0
2002;Provincia de Buenos Aires;154;Carlos Tejedor;554;171;725;345381;476;91750;253631;212;508;198048;135683;0;0;389;185;574;565;315;880;23686;26022;38692;"8836,5";14565;22671;"6756,5";"31935,8";"481,7";0;487;0
2002;Provincia de Buenos Aires;161;Carmen de Areco;162;49;211;88478;419;21253;67225;78;133;57669;30809;0;0;218;172;390;276;236;512;14657;28052;14565;"6947,5";"7456,5";"27952,5";3603;"10961,5";420;0;252;0
2002;Provincia de Buenos Aires;168;Castelli;110;61;171;148514;869;24244;124270;48;122;90639;55525;0;0;140;62;202;210;119;329;5293;2696;11138;2387;2848;2116;"4354,8";6783;1424;0;196;0
2002;Provincia de Buenos Aires;210;Chacabuco;673;87;760;187538;247;77526;110013;244;512;104405;82624;0;0;602;110;712;830;193;1023;41796;78487;24015;"17463,1";"21012,7";"78413,1";3378;"20637,4";"852,4";0;338;0
2002;Provincia de Buenos Aires;218;Chascomús;540;194;734;333769;455;107647;226122;235;496;163176;169044;0;0;555;209;764;849;333;1182;12877;8771;26216;7932;4729;6499;4086;22130;"2899,8";0;598;0
2002;Provincia de Buenos Aires;224;Chivilcoy;606;93;699;203485;291;78751;124734;208;487;101522;100047;0;0;693;160;853;902;219;1121;55563;87290;19775;"16239,7";38908;"86280,9";"4229,5";15545;"1393,5";0;351;0
2002;Provincia de Buenos Aires;175;Colón;379;25;404;81222;201;41565;39657;132;268;46850;33723;0;0;189;47;236;252;57;309;25206;41937;9972;10034;14397;41920;"397,5";"9574,5";"112,5";0;131;0
2002;Provincia de Buenos Aires;182;Coronel de Marina Leonardo Rosales;81;55;136;104612;769;19821;84791;36;98;45782;51271;0;0;127;32;159;187;41;228;28276;0;27780;100;18758;0;14829;12951;"51,5";0;74;0
2002;Provincia de Buenos Aires;189;Coronel Dorrego;275;272;547;544227;995;61988;482239;166;370;290142;246060;0;0;310;127;437;618;261;879;213564;50586;91479;2745;140374;4540;"59795,2";31684;4038;0;389;0
2002;Provincia de Buenos Aires;196;Coronel Pringles;359;263;622;473821;762;80544;393277;183;433;225530;239863;0;0;380;119;499;755;271;1026;96112;41514;96904;2187;88833;"7869,5";33811;63093;191;0;496;0
2002;Provincia de Buenos Aires;203;Coronel Suárez;670;316;986;608598;617;112865;495733;234;741;297548;291439;0;0;669;225;894;1261;526;1787;169648;96585;158028;12324;"136187,5";"49553,4";41107;"116921,1";"240,5";0;942;0
2002;Provincia de Buenos Aires;231;Daireaux;415;137;552;303980;551;71384;232596;160;390;186615;111415;0;0;235;181;416;389;351;740;35391;43800;53602;13559;"20199,5";"32135,2";11721;"41880,8";3332;0;427;0
2002;Provincia de Buenos Aires;238;Dolores;106;57;163;134157;823;22162;111995;44;117;45576;88536;0;0;98;30;128;183;46;229;929;127;12943;677;50;60;261;12682;"1411,9";0;117;0
2002;Provincia de Buenos Aires;245;Ensenada;4;1;5;1684;337;1126;558;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0
2002;Provincia de Buenos Aires;252;Escobar;151;1;152;2873;19;1699;1174;93;59;610;769;0;0;360;51;411;435;58;493;15;85;519;0;15;85;"241,7";"277,6";"240,6";0;255;0
2002;Provincia de Buenos Aires;260;Esteban Echeverría;8;0;8;467;58;467;0;2;4;0;91;0;0;15;0;15;15;2;17;0;0;0;0;0;0;0;0;"3,5";0;17;0
2002;Provincia de Buenos Aires;266;Exaltación de la Cruz;216;17;233;45091;194;19038;26053;74;159;29454;15637;0;0;453;114;567;541;147;688;11175;18426;6167;3316;7859;17388;1148;5019;"424,5";0;289;0
2002;Provincia de Buenos Aires;270;Ezeiza;20;2;22;2540;115;360;2180;10;12;104;243;0;0;17;23;40;47;31;78;78;0;240;78;0;0;90;150;0;0;40;0
2002;Provincia de Buenos Aires;274;Florencio Varela;188;0;188;3005;16;3005;0;23;164;692;1856;0;0;429;11;440;685;34;719;275;90;0;0;275;90;0;0;"4,3";0;198;0
2002;Provincia de Buenos Aires;277;Florentino Ameghino;102;80;182;161951;890;21793;140159;69;111;110130;49052;0;0;160;131;291;292;248;540;14676;20684;29677;"8682,5";5662;19364;8199;"21477,5";"1034,5";0;316;0
2002;Provincia de Buenos Aires;280;General Alvarado;144;65;209;132808;635;22005;110803;95;107;93509;34961;0;0;158;209;367;287;323;610;44164;22130;34670;"8398,7";"34478,8";"3571,9";"4970,6";"29699,7";1219;0;360;0
2002;Provincia de Buenos Aires;287;General Alvear;277;111;388;280863;724;49310;231553;108;279;151221;129512;0;0;291;147;438;430;217;647;7267;5248;25840;4763;1870;3937;"4123,5";"21716,3";"2252,4";0;330;0
2002;Provincia de Buenos Aires;294;General Arenales;557;73;630;134327;213;65034;69292;141;484;62487;68517;0;0;330;59;389;442;249;691;57611;71959;9056;21797;24104;"71958,5";"1439,5";"7616,5";"562,7";0;115;0
2002;Provincia de Buenos Aires;301;General Belgrano;209;85;294;164897;561;27551;137346;100;194;103458;61439;0;0;208;150;358;302;252;554;10894;7532;18609;"6462,5";4381;6191;2657;"15952,3";"777,5";0;259;0
2002;Provincia de Buenos Aires;308;General Guido;191;107;298;197039;661;43349;153690;73;224;78053;117023;0;0;175;46;221;298;128;426;2119;162;12551;1549;465;0;1086;"11464,5";573;0;238;0
2002;Provincia de Buenos Aires;315;General Juan Madariaga;221;128;349;249328;714;37422;211906;88;261;109025;140303;0;0;354;136;490;535;204;739;8982;4727;25644;4876;3830;"1379,5";"2839,5";22804;"5376,5";0;399;0
2002;Provincia de Buenos Aires;322;General La Madrid;209;180;389;329852;848;49162;280690;97;288;162198;166089;0;0;285;123;408;540;248;788;39960;32079;69581;3656;32875;12931;14151;55430;"149,5";0;463;0
2002;Provincia de Buenos Aires;329;General Las Heras;221;18;239;47456;199;32398;15058;91;147;26331;20859;0;0;203;73;276;296;123;419;1476;1119;6949;308;1168;1039;"1558,5";5390;"418,5";0;182;0
2002;Provincia de Buenos Aires;336;General Lavalle;99;104;203;227047;1118;21410;205637;65;137;138809;87733;0;0;124;121;245;190;188;378;602;130;10239;437;95;60;1485;8754;"3413,5";0;225;0
2002;Provincia de Buenos Aires;343;General Paz;351;47;398;99389;250;53637;45752;86;311;37171;62120;0;0;318;85;403;461;98;559;1639;1241;7512;837;782;"934,2";2314;"5197,5";42;0;241;0
2002;Provincia de Buenos Aires;351;General Pinto;264;98;362;239097;660;43205;195892;106;255;147172;90479;0;0;342;262;604;534;350;884;43927;57104;44954;"21159,5";"22517,5";"56942,5";10785;"34168,7";734;0;511;0
2002;Provincia de Buenos Aires;357;General Pueyrredón;390;66;456;113138;248;31928;81210;183;269;82671;29249;0;0;744;573;1317;1022;764;1786;28454;13863;26435;"7352,7";21101;"3426,5";4329;"22105,9";"1266,6";0;892;0
2002;Provincia de Buenos Aires;364;General Rodríguez;58;8;66;20775;315;7089;13686;31;35;14158;4986;0;0;78;86;164;120;180;300;2021;1306;5149;806;935;1196;992;4157;556;0;228;0
2002;Provincia de Buenos Aires;371;General San Martín;6;0;6;76;13;76;0;3;2;0;0;0;0;4;0;4;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0
2002;Provincia de Buenos Aires;385;General Viamonte;376;84;460;163532;356;56534;106999;134;324;63269;87778;0;0;341;68;409;479;144;623;22843;46825;7313;7514;"10002,5";"46204,6";3054;4259;"956,7";0;227;0
2002;Provincia de Buenos Aires;392;General Villegas;509;278;787;595146;756;102471;492675;252;530;382697;206374;0;0;701;580;1281;1073;959;2032;92965;146084;163503;"41187,7";"49910,8";134520;29191;"134312,4";"979,6";0;1186;0
2002;Provincia de Buenos Aires;399;Guaminí;417;187;604;392614;650;78017;314597;152;443;190313;185793;0;0;380;155;535;618;356;974;81442;54999;147876;"10916,5";61838;27980;"50815,3";"97060,3";"2958,8";0;502;0
2002;Provincia de Buenos Aires;406;Hipólito Yrigoyen;272;68;340;130118;383;33039;97079;95;240;81955;48046;0;0;115;103;218;199;221;420;18039;18556;13670;7703;"10031,5";16302;4889;"8780,7";"1307,5";0;234;0
2002;Provincia de Buenos Aires;408;Hurlingham;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Provincia de Buenos Aires;410;Ituzaingó;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Provincia de Buenos Aires;412;"José C, Paz";23;0;23;75;3;75;0;0;23;0;75;0;0;31;0;31;64;0;64;0;0;0;0;0;0;0;0;"0,9";0;8;0
2002;Provincia de Buenos Aires;413;Junín;504;76;580;167733;289;76975;90758;157;419;90425;74748;0;0;583;113;696;771;184;955;42794;67949;15752;"14046,5";"19579,5";66892;2890;12862;"1644,8";0;265;0
2002;Provincia de Buenos Aires;420;La Costa;21;0;21;1439;69;1439;0;3;17;44;1386;0;0;15;5;20;17;18;35;0;0;0;0;0;0;0;0;112;0;16;0
2002;Provincia de Buenos Aires;427;La Matanza;71;1;72;20899;290;3965;16934;25;44;19156;1535;0;0;90;67;157;143;105;248;1062;509;3257;382;630;209;2997;"259,5";"90,6";0;119;0
2002;Provincia de Buenos Aires;434;Lanús;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Provincia de Buenos Aires;441;La Plata;1166;17;1183;43247;37;28170;15077;196;983;15634;26945;0;0;3320;378;3698;4050;586;4636;1208;1036;3058;"695,5";426;505;"1012,5";2045;"788,1";0;1329;0
2002;Provincia de Buenos Aires;448;Laprida;206;174;380;336780;886;42696;294083;108;265;161183;152388;0;0;256;81;337;482;187;669;18547;7378;54009;2099;15155;2896;12231;"41777,5";362;0;380;0
2002;Provincia de Buenos Aires;455;Las Flores;500;140;640;291235;455;74978;216257;192;445;148715;142241;0;0;448;100;548;732;190;922;8314;7239;24459;5182;"2958,5";"5030,5";2586;21873;"1142,5";0;378;0
2002;Provincia de Buenos Aires;462;"Leandro N, Alem";241;74;315;145897;463;36189;109709;71;243;75504;66678;0;0;274;87;361;394;167;561;33602;45673;16285;13517;"19100,5";"45672,5";6500;9785;"1602,5";0;345;0
2002;Provincia de Buenos Aires;466;Lezama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Provincia de Buenos Aires;469;Lincoln;995;222;1217;561364;461;125008;436357;284;924;359670;195111;0;0;782;405;1187;1103;734;1837;69978;104164;89105;"27714,8";"40540,7";"98158,5";16588;"72516,5";"3085,5";0;981;0
2002;Provincia de Buenos Aires;476;Lobería;336;208;544;356304;655;67249;289054;228;310;238338;116092;0;0;348;343;691;707;600;1307;124508;73318;88247;"18961,7";"99681,9";9365;19833;"68413,6";"5164,4";0;709;0
2002;Provincia de Buenos Aires;483;Lobos;538;67;605;140638;232;65902;74736;202;401;86311;54207;0;0;727;214;941;973;264;1237;13491;17617;27176;6698;"6690,5";16422;3785;"23390,5";"967,5";0;458;0
2002;Provincia de Buenos Aires;490;Lomas de Zamora;2;0;2;515;258;515;0;0;0;0;0;0;0;0;44;44;0;49;49;15;0;77;0;15;0;"76,5";0;25;0;32;0
2002;Provincia de Buenos Aires;497;Luján;74;16;90;26861;298;12122;14739;36;52;13683;12784;0;0;89;81;170;129;125;254;6494;5065;7907;3155;3279;4282;"1503,5";"6403,3";"1030,5";0;148;0
2002;Provincia de Buenos Aires;505;Magdalena;436;93;529;179755;340;64211;115545;118;406;87982;88526;0;0;578;132;710;774;166;940;3812;1626;15972;"3587,5";"189,5";"353,5";"3739,5";"12232,5";"2679,9";0;337;0
2002;Provincia de Buenos Aires;511;Maipú;109;119;228;243932;1070;27200;216732;59;169;97367;146565;0;0;207;88;295;349;132;481;6080;3026;26208;3366;2714;556;"1885,5";24322;1006;0;251;0
2002;Provincia de Buenos Aires;515;Malvinas Argentinas;14;0;14;18;1;18;0;1;12;0;15;0;0;12;0;12;21;0;21;0;0;0;0;0;0;0;0;0;0;5;0
2002;Provincia de Buenos Aires;518;Mar Chiquita;251;138;389;302173;777;46446;255727;132;253;201337;91869;0;0;224;292;516;423;443;866;14524;4320;67526;8622;"5715,4";83;6067;61459;"1012,5";0;488;0
2002;Provincia de Buenos Aires;525;Marcos Paz;276;8;284;27975;99;18540;9435;75;207;9942;17830;0;0;377;144;521;525;332;857;2954;2529;4892;692;"2169,5";2269;2661;2231;"466,1";0;478;0
2002;Provincia de Buenos Aires;532;Mercedes;269;40;309;82472;267;37304;45168;92;217;43886;38586;0;0;404;124;528;502;185;687;8905;11840;13282;"3827,3";4860;"10484,5";"3763,5";"9518,5";"1008,3";0;308;0
2002;Provincia de Buenos Aires;539;Merlo;55;0;55;1124;20;1124;0;6;49;170;954;0;0;80;0;80;126;0;126;301;221;297;12;261;221;220;77;4;0;12;0
2002;Provincia de Buenos Aires;547;Monte;219;71;290;140841;486;37317;103524;92;195;87748;51926;0;0;307;203;510;382;298;680;8648;7743;23871;3832;4571;7407;"5551,8";18319;"1443,6";0;395;0
2002;Provincia de Buenos Aires;553;Monte Hermoso;1;3;4;19695;4924;220;19475;2;2;0;1640;0;0;2;2;4;3;16;19;0;0;7660;0;0;0;1240;6420;34;0;20;0
2002;Provincia de Buenos Aires;560;Moreno;105;0;105;397;4;397;0;13;91;41;329;0;0;221;13;234;236;12;248;0;0;0;0;0;0;0;0;0;0;27;0
2002;Provincia de Buenos Aires;568;Morón;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;Provincia de Buenos Aires;574;Navarro;406;72;478;138702;290;61808;76895;134;341;60057;77070;0;0;679;110;789;884;181;1065;12285;17009;23190;"3867,5";8362;16714;5532;"17657,5";"366,5";0;399;0
2002;Provincia de Buenos Aires;581;Necochea;337;232;569;411192;723;70541;340652;176;386;208420;198368;0;0;476;172;648;758;291;1049;151151;103985;57515;"12342,5";"135586,5";"10283,5";15271;42244;3223;0;524;0
2002;Provincia de Buenos Aires;588;9 de julio;886;183;1069;373746;350;125619;248127;286;776;184120;182510;0;0;589;228;817;895;365;1260;43630;62994;38200;"15455,7";"25164,6";"60942,3";7350;30850;"1097,3";0;655;0
2002;Provincia de Buenos Aires;595;Olavarría;627;332;959;707953;738;120873;587080;266;686;372115;321293;0;0;729;223;952;1154;472;1626;47010;41892;83689;7975;"35427,5";"31682,5";"16650,5";"67038,5";"1179,6";0;840;0
2002;Provincia de Buenos Aires;602;Patagones;410;542;952;1271443;1336;92301;1179143;189;757;394208;861723;0;0;669;25;694;1329;85;1414;145991;2733;175393;397;130198;50;"134055,5";41337;"504779,1";0;441;0
2002;Provincia de Buenos Aires;609;Pehuajó;819;184;1003;496943;495;124109;372834;281;717;322044;172370;0;0;448;316;764;680;600;1280;68936;91685;54234;24395;"41131,5";84316;"7716,5";"46517,7";"4687,3";0;749;0
2002;Provincia de Buenos Aires;616;Pellegrini;123;70;193;149599;775;26231;123368;70;120;102701;44996;0;0;169;99;268;266;226;492;17740;29704;80227;"7939,8";8748;9365;"25229,3";"54997,7";696;0;281;0
