;Cantidad de EAPs;Año del censo;Partido;Sexo
122;48.0;2018;Tandil;Mujeres propietarias
123;57.0;2018;Tapalqué;Mujeres propietarias
124;1.0;2018;Tigre;Mujeres propietarias
125;20.0;2018;Tordillo;Mujeres propietarias
126;46.0;2018;Tornquist;Mujeres propietarias
127;41.0;2018;Trenque Lauquen;Mujeres propietarias
128;46.0;2018;Tres Arroyos;Mujeres propietarias
129;0.0;2018;Tres de Febrero;Mujeres propietarias
130;13.0;2018;Tres Lomas;Mujeres propietarias
131;74.0;2018;25 de mayo;Mujeres propietarias
132;0.0;2018;Vicente López;Mujeres propietarias
133;0.0;2018;Villa Gesell;Mujeres propietarias
134;62.0;2018;Villarino;Mujeres propietarias
135;4.0;2018;Zárate;Mujeres propietarias
136;0.0;2002;Provincia de Buenos Aires;Mujeres propietarias
137;0.0;2002;Adolfo Alsina;Mujeres propietarias
138;0.0;2002;Adolfo Gonzales Chaves;Mujeres propietarias
139;0.0;2002;Alberti;Mujeres propietarias
140;0.0;2002;Almirante Brown;Mujeres propietarias
141;0.0;2002;Arrecifes;Mujeres propietarias
142;0.0;2002;Avellaneda;Mujeres propietarias
143;0.0;2002;Ayacucho;Mujeres propietarias
144;0.0;2002;Azul;Mujeres propietarias
145;0.0;2002;Bahía Blanca;Mujeres propietarias
146;0.0;2002;Balcarce;Mujeres propietarias
147;0.0;2002;Baradero;Mujeres propietarias
148;0.0;2002;Benito Juárez;Mujeres propietarias
149;0.0;2002;Berazategui;Mujeres propietarias
150;0.0;2002;Berisso;Mujeres propietarias
151;0.0;2002;Bolívar;Mujeres propietarias
152;0.0;2002;Bragado;Mujeres propietarias
153;0.0;2002;Brandsen;Mujeres propietarias
154;0.0;2002;Campana;Mujeres propietarias
155;0.0;2002;Cañuelas;Mujeres propietarias
156;0.0;2002;Capitán Sarmiento;Mujeres propietarias
157;0.0;2002;Carlos Casares;Mujeres propietarias
158;0.0;2002;Carlos Tejedor;Mujeres propietarias
159;0.0;2002;Carmen de Areco;Mujeres propietarias
160;0.0;2002;Castelli;Mujeres propietarias
161;0.0;2002;Chacabuco;Mujeres propietarias
162;0.0;2002;Chascomús;Mujeres propietarias
163;0.0;2002;Chivilcoy;Mujeres propietarias
164;0.0;2002;Colón;Mujeres propietarias
165;0.0;2002;Coronel de Marina Leonardo Rosales;Mujeres propietarias
