;HA de EAPs;Año del censo;Partido;Tamaño EAPs
99;629.0;2018;Presidente Perón;Pequeñas (<=500 ha)
100;105579.0;2018;Puán;Pequeñas (<=500 ha)
101;23794.0;2018;Punta Indio;Pequeñas (<=500 ha)
102;43.0;2018;Quilmes;Pequeñas (<=500 ha)
103;21900.0;2018;Ramallo;Pequeñas (<=500 ha)
104;81954.0;2018;Rauch;Pequeñas (<=500 ha)
105;32663.0;2018;Rivadavia;Pequeñas (<=500 ha)
106;48658.0;2018;Rojas;Pequeñas (<=500 ha)
107;26180.0;2018;Roque Pérez;Pequeñas (<=500 ha)
108;69384.0;2018;Saavedra;Pequeñas (<=500 ha)
109;63748.0;2018;Saladillo;Pequeñas (<=500 ha)
110;21014.0;2018;Salliqueló;Pequeñas (<=500 ha)
111;34971.0;2018;Salto;Pequeñas (<=500 ha)
112;14603.0;2018;San Andrés de Giles;Pequeñas (<=500 ha)
113;16002.0;2018;San Antonio de Areco;Pequeñas (<=500 ha)
114;33807.0;2018;San Cayetano;Pequeñas (<=500 ha)
115;7783.0;2018;San Fernando;Pequeñas (<=500 ha)
116;0.0;2018;San Isidro;Pequeñas (<=500 ha)
117;0.0;2018;San Miguel;Pequeñas (<=500 ha)
118;23912.0;2018;San Nicolás;Pequeñas (<=500 ha)
119;35452.0;2018;San Pedro;Pequeñas (<=500 ha)
120;24380.0;2018;San Vicente;Pequeñas (<=500 ha)
121;16869.0;2018;Suipacha;Pequeñas (<=500 ha)
122;57011.0;2018;Tandil;Pequeñas (<=500 ha)
123;33122.0;2018;Tapalqué;Pequeñas (<=500 ha)
124;2087.0;2018;Tigre;Pequeñas (<=500 ha)
125;12310.0;2018;Tordillo;Pequeñas (<=500 ha)
126;57539.0;2018;Tornquist;Pequeñas (<=500 ha)
127;44478.0;2018;Trenque Lauquen;Pequeñas (<=500 ha)
128;67574.0;2018;Tres Arroyos;Pequeñas (<=500 ha)
129;0.0;2018;Tres de Febrero;Pequeñas (<=500 ha)
130;20097.0;2018;Tres Lomas;Pequeñas (<=500 ha)
131;82597.0;2018;25 de mayo;Pequeñas (<=500 ha)
132;0.0;2018;Vicente López;Pequeñas (<=500 ha)
133;0.0;2018;Villa Gesell;Pequeñas (<=500 ha)
134;70328.0;2018;Villarino;Pequeñas (<=500 ha)
135;3569.0;2018;Zárate;Pequeñas (<=500 ha)
136;5828911.0;2002;Provincia de Buenos Aires;Pequeñas (<=500 ha)
137;123232.0;2002;Adolfo Alsina;Pequeñas (<=500 ha)
138;36803.0;2002;Adolfo Gonzales Chaves;Pequeñas (<=500 ha)
139;35430.0;2002;Alberti;Pequeñas (<=500 ha)
140;388.0;2002;Almirante Brown;Pequeñas (<=500 ha)
141;26356.0;2002;Arrecifes;Pequeñas (<=500 ha)
142;89.0;2002;Avellaneda;Pequeñas (<=500 ha)
143;125579.0;2002;Ayacucho;Pequeñas (<=500 ha)
144;113401.0;2002;Azul;Pequeñas (<=500 ha)
145;32923.0;2002;Bahía Blanca;Pequeñas (<=500 ha)
146;60228.0;2002;Balcarce;Pequeñas (<=500 ha)
147;19130.0;2002;Baradero;Pequeñas (<=500 ha)
148;58143.0;2002;Benito Juárez;Pequeñas (<=500 ha)
149;1421.0;2002;Berazategui;Pequeñas (<=500 ha)
150;3671.0;2002;Berisso;Pequeñas (<=500 ha)
151;168194.0;2002;Bolívar;Pequeñas (<=500 ha)
152;72744.0;2002;Bragado;Pequeñas (<=500 ha)
153;43920.0;2002;Brandsen;Pequeñas (<=500 ha)
154;10550.0;2002;Campana;Pequeñas (<=500 ha)
155;27729.0;2002;Cañuelas;Pequeñas (<=500 ha)
156;15933.0;2002;Capitán Sarmiento;Pequeñas (<=500 ha)
157;78210.0;2002;Carlos Casares;Pequeñas (<=500 ha)
158;91750.0;2002;Carlos Tejedor;Pequeñas (<=500 ha)
159;21253.0;2002;Carmen de Areco;Pequeñas (<=500 ha)
160;24244.0;2002;Castelli;Pequeñas (<=500 ha)
161;77526.0;2002;Chacabuco;Pequeñas (<=500 ha)
162;107647.0;2002;Chascomús;Pequeñas (<=500 ha)
163;78751.0;2002;Chivilcoy;Pequeñas (<=500 ha)
164;41565.0;2002;Colón;Pequeñas (<=500 ha)
165;19821.0;2002;Coronel de Marina Leonardo Rosales;Pequeñas (<=500 ha)
166;61988.0;2002;Coronel Dorrego;Pequeñas (<=500 ha)
167;80544.0;2002;Coronel Pringles;Pequeñas (<=500 ha)
168;112865.0;2002;Coronel Suárez;Pequeñas (<=500 ha)
169;71384.0;2002;Daireaux;Pequeñas (<=500 ha)
170;22162.0;2002;Dolores;Pequeñas (<=500 ha)
171;1126.0;2002;Ensenada;Pequeñas (<=500 ha)
172;1699.0;2002;Escobar;Pequeñas (<=500 ha)
173;467.0;2002;Esteban Echeverría;Pequeñas (<=500 ha)
174;19038.0;2002;Exaltación de la Cruz;Pequeñas (<=500 ha)
175;360.0;2002;Ezeiza;Pequeñas (<=500 ha)
176;3005.0;2002;Florencio Varela;Pequeñas (<=500 ha)
177;21793.0;2002;Florentino Ameghino;Pequeñas (<=500 ha)
178;22005.0;2002;General Alvarado;Pequeñas (<=500 ha)
179;49310.0;2002;General Alvear;Pequeñas (<=500 ha)
180;65034.0;2002;General Arenales;Pequeñas (<=500 ha)
181;27551.0;2002;General Belgrano;Pequeñas (<=500 ha)
182;43349.0;2002;General Guido;Pequeñas (<=500 ha)
183;37422.0;2002;General Juan Madariaga;Pequeñas (<=500 ha)
184;49162.0;2002;General La Madrid;Pequeñas (<=500 ha)
185;32398.0;2002;General Las Heras;Pequeñas (<=500 ha)
186;21410.0;2002;General Lavalle;Pequeñas (<=500 ha)
187;53637.0;2002;General Paz;Pequeñas (<=500 ha)
188;43205.0;2002;General Pinto;Pequeñas (<=500 ha)
189;31928.0;2002;General Pueyrredón;Pequeñas (<=500 ha)
190;7089.0;2002;General Rodríguez;Pequeñas (<=500 ha)
191;76.0;2002;General San Martín;Pequeñas (<=500 ha)
192;56534.0;2002;General Viamonte;Pequeñas (<=500 ha)
193;102471.0;2002;General Villegas;Pequeñas (<=500 ha)
194;78017.0;2002;Guaminí;Pequeñas (<=500 ha)
195;33039.0;2002;Hipólito Yrigoyen;Pequeñas (<=500 ha)
196;0.0;2002;Hurlingham;Pequeñas (<=500 ha)
197;0.0;2002;Ituzaingó;Pequeñas (<=500 ha)
198;75.0;2002;José C, Paz;Pequeñas (<=500 ha)
199;76975.0;2002;Junín;Pequeñas (<=500 ha)
200;1439.0;2002;La Costa;Pequeñas (<=500 ha)
201;3965.0;2002;La Matanza;Pequeñas (<=500 ha)
202;0.0;2002;Lanús;Pequeñas (<=500 ha)
203;28170.0;2002;La Plata;Pequeñas (<=500 ha)
204;42696.0;2002;Laprida;Pequeñas (<=500 ha)
205;74978.0;2002;Las Flores;Pequeñas (<=500 ha)
206;36189.0;2002;Leandro N, Alem;Pequeñas (<=500 ha)
207;0.0;2002;Lezama;Pequeñas (<=500 ha)
208;125008.0;2002;Lincoln;Pequeñas (<=500 ha)
209;67249.0;2002;Lobería;Pequeñas (<=500 ha)
210;65902.0;2002;Lobos;Pequeñas (<=500 ha)
211;515.0;2002;Lomas de Zamora;Pequeñas (<=500 ha)
212;12122.0;2002;Luján;Pequeñas (<=500 ha)
213;64211.0;2002;Magdalena;Pequeñas (<=500 ha)
214;27200.0;2002;Maipú;Pequeñas (<=500 ha)
