;Año del censo;Partido;Cantidad de EAPs
227;2002;Olavarría;959
228;2002;Patagones;952
229;2002;Pehuajó;1003
230;2002;Pellegrini;193
231;2002;Pergamino;1116
232;2002;Pila;274
233;2002;Pilar;101
234;2002;Pinamar;0
235;2002;Presidente Perón;31
236;2002;Puán;882
237;2002;Punta Indio;224
238;2002;Quilmes;6
239;2002;Ramallo;310
240;2002;Rauch;844
241;2002;Rivadavia;587
242;2002;Rojas;583
243;2002;Roque Pérez;455
244;2002;Saavedra;566
245;2002;Saladillo;1244
246;2002;Salliqueló;209
247;2002;Salto;516
248;2002;San Andrés de Giles;250
249;2002;San Antonio de Areco;161
250;2002;San Cayetano;360
251;2002;San Fernando;20
252;2002;San Isidro;9
253;2002;San Miguel;0
254;2002;San Nicolás;293
255;2002;San Pedro;632
256;2002;San Vicente;170
257;2002;Suipacha;254
258;2002;Tandil;659
259;2002;Tapalqué;371
260;2002;Tigre;35
261;2002;Tordillo;125
262;2002;Tornquist;492
263;2002;Trenque Lauquen;452
264;2002;Tres Arroyos;692
265;2002;Tres de Febrero;5
266;2002;Tres Lomas;285
267;2002;25 de mayo;868
268;2002;Vicente López;4
269;2002;Villa Gesell;3
270;2002;Villarino;938
271;2002;Zárate;167
272;1988;Provincia de Buenos Aires;75479
273;1988;Adolfo Alsina;1021
274;1988;Adolfo Gonzales Chaves;527
275;1988;Alberti;442
276;1988;Almirante Brown;84
277;1988;Arrecifes;0
278;1988;Avellaneda;57
279;1988;Ayacucho;1171
280;1988;Azul;1056
281;1988;Bahía Blanca;348
282;1988;Balcarce;1347
283;1988;Baradero;374
284;1988;Bartolomé Mitre;410
285;1988;Benito Juárez;752
286;1988;Berazategui;214
287;1988;Berisso;84
288;1988;Bolívar;1904
289;1988;Bragado;960
290;1988;Brandsen;400
291;1988;Campana;266
292;1988;Cañuelas;520
293;1988;Capitán Sarmiento;243
294;1988;Carlos Casares;1005
295;1988;Carlos Tejedor;842
296;1988;Carmen de Areco;241
297;1988;Castelli;369
298;1988;Chacabuco;1400
299;1988;Chascomús;1009
300;1988;Chivilcoy;1068
301;1988;Colón;537
302;1988;Coronel de Marina Leonardo Rosales;150
303;1988;Coronel Dorrego;807
304;1988;Coronel Pringles;806
305;1988;Coronel Suárez;1243
306;1988;Daireaux;757
307;1988;Dolores;395
308;1988;Ensenada;14
309;1988;Escobar;425
310;1988;Esteban Echeverría;149
311;1988;Exaltación de la Cruz;590
312;1988;Ezeiza;0
313;1988;Florencio Varela;588
314;1988;Florentino Ameghino;0
315;1988;General Alvarado;699
316;1988;General Alvear;450
317;1988;General Arenales;874
318;1988;General Belgrano;401
319;1988;General Guido;385
320;1988;General Juan Madariaga;500
321;1988;General La Madrid;624
322;1988;General Las Heras;376
323;1988;General Lavalle;212
324;1988;General Paz;524
325;1988;General Pinto;801
326;1988;General Pueyrredón;699
327;1988;General Rodríguez;213
328;1988;General San Martín;0
329;1988;General Sarmiento;173
330;1988;General Viamonte;948
331;1988;General Villegas;1206
332;1988;Guaminí;658
333;1988;Hipólito Yrigoyen;433
334;1988;Hurlingham;0
335;1988;Ituzaingó;0
336;1988;José C, Paz;0
337;1988;Junín;1089
338;1988;La Costa;9
339;1988;La Matanza;166
340;1988;Lanús;0
341;1988;La Plata;1203
342;1988;Laprida;425
343;1988;Las Flores;736
344;1988;Leandro N, Alem;480
345;1988;Lezama;0
346;1988;Lincoln;1545
347;1988;Lobería;987
348;1988;Lobos;971
349;1988;Lomas de Zamora;0
350;1988;Luján;431
351;1988;Magdalena;1034
352;1988;Maipú;316
353;1988;Malvinas Argentinas;0
354;1988;Mar Chiquita;503
355;1988;Marcos Paz;344
356;1988;Mercedes;671
357;1988;Merlo;157
358;1988;Monte;419
359;1988;Monte Hermoso;0
360;1988;Moreno;169
361;1988;Morón;0
362;1988;Navarro;619
363;1988;Necochea;701
364;1988;9 de julio;1435
365;1988;Olavarría;1149
366;1988;Patagones;1073
367;1988;Pehuajó;1272
368;1988;Pellegrini;274
369;1988;Pergamino;1600
370;1988;Pila;368
371;1988;Pilar;518
372;1988;Pinamar;0
373;1988;Presidente Perón;0
374;1988;Puán;1139
375;1988;Punta Indio;0
376;1988;Quilmes;0
377;1988;Ramallo;498
378;1988;Rauch;971
379;1988;Rivadavia;685
380;1988;Rojas;932
381;1988;Roque Pérez;653
382;1988;Saavedra;678
383;1988;Saladillo;1280
384;1988;Salliqueló;281
385;1988;Salto;739
386;1988;San Andrés de Giles;416
387;1988;San Antonio de Areco;288
388;1988;San Cayetano;561
389;1988;San Fernando;148
390;1988;San Isidro;7
391;1988;San Miguel;0
392;1988;San Nicolás;448
393;1988;San Pedro;1097
394;1988;San Vicente;276
395;1988;Suipacha;357
396;1988;Tandil;1095
397;1988;Tapalqué;575
398;1988;Tigre;135
399;1988;Tordillo;114
400;1988;Tornquist;623
401;1988;Trenque Lauquen;822
402;1988;Tres Arroyos;1042
403;1988;Tres de Febrero;5
404;1988;Tres Lomas;385
405;1988;25 de mayo;1145
406;1988;Vicente López;0
407;1988;Villa Gesell;0
408;1988;Villarino;1347
409;1988;Zárate;503
410;1988;Indeterminado;6
