;Superficie promedio;Año del censo;Partido
226;350;2002;9 de julio
227;738;2002;Olavarría
228;1336;2002;Patagones
229;495;2002;Pehuajó
230;775;2002;Pellegrini
231;255;2002;Pergamino
232;910;2002;Pila
233;16;2002;Pilar
234;0;2002;Pinamar
235;100;2002;Presidente Perón
236;619;2002;Puán
237;561;2002;Punta Indio
238;6;2002;Quilmes
239;284;2002;Ramallo
240;425;2002;Rauch
241;622;2002;Rivadavia
242;314;2002;Rojas
243;299;2002;Roque Pérez
244;612;2002;Saavedra
245;234;2002;Saladillo
246;667;2002;Salliqueló
247;175;2002;Salto
248;357;2002;San Andrés de Giles
249;575;2002;San Antonio de Areco
250;667;2002;San Cayetano
251;613;2002;San Fernando
252;0;2002;San Isidro
253;0;2002;San Miguel
254;181;2002;San Nicolás
255;166;2002;San Pedro
256;285;2002;San Vicente
257;344;2002;Suipacha
258;671;2002;Tandil
259;730;2002;Tapalqué
260;20;2002;Tigre
261;844;2002;Tordillo
262;814;2002;Tornquist
263;902;2002;Trenque Lauquen
264;761;2002;Tres Arroyos
265;23;2002;Tres de Febrero
266;385;2002;Tres Lomas
267;419;2002;25 de mayo
268;0;2002;Vicente López
269;2;2002;Villa Gesell
270;937;2002;Villarino
271;209;2002;Zárate
272;361;1988;Provincia de Buenos Aires
273;467;1988;Adolfo Alsina
274;634;1988;Adolfo Gonzales Chaves
275;225;1988;Alberti
276;15;1988;Almirante Brown
277;0;1988;Arrecifes
278;5;1988;Avellaneda
279;536;1988;Ayacucho
280;615;1988;Azul
281;659;1988;Bahía Blanca
282;293;1988;Balcarce
283;230;1988;Baradero
284;2;1988;Bartolomé Mitre
285;137;1988;Benito Juárez
286;2360;1988;Berazategui
287;99;1988;Berisso
288;3;1988;Bolívar
289;498;1988;Bragado
290;503;1988;Brandsen
291;356;1988;Campana
292;108;1988;Cañuelas
293;429;1988;Capitán Sarmiento
294;53;1988;Carlos Casares
295;282;1988;Carlos Tejedor
296;1545;1988;Carmen de Areco
297;205;1988;Castelli
298;166;1988;Chacabuco
299;216;1988;Chascomús
300;360;1988;Chivilcoy
301;327;1988;Colón
302;578;1988;Coronel de Marina Leonardo Rosales
303;122;1988;Coronel Dorrego
304;623;1988;Coronel Pringles
305;413;1988;Coronel Suárez
306;776;1988;Daireaux
307;869;1988;Dolores
308;12240;1988;Ensenada
309;7;1988;Escobar
310;66;1988;Esteban Echeverría
311;21;1988;Exaltación de la Cruz
312;0;1988;Ezeiza
313;0;1988;Florencio Varela
314;0;1988;Florentino Ameghino
315;0;1988;General Alvarado
316;340;1988;General Alvear
317;297;1988;General Arenales
318;342;1988;General Belgrano
319;501;1988;General Guido
320;438;1988;General Juan Madariaga
321;450;1988;General La Madrid
322;1121;1988;General Las Heras
323;293;1988;General Lavalle
324;429;1988;General Paz
325;124;1988;General Pinto
326;590;1988;General Pueyrredón
327;604;1988;General Rodríguez
328;0;1988;General San Martín
329;0;1988;General Sarmiento
330;220;1988;General Viamonte
331;545;1988;General Villegas
332;529;1988;Guaminí
333;354;1988;Hipólito Yrigoyen
334;0;1988;Hurlingham
335;0;1988;Ituzaingó
336;0;1988;José C, Paz
337;185;1988;Junín
338;614;1988;La Costa
339;27;1988;La Matanza
340;0;1988;Lanús
341;35;1988;La Plata
342;703;1988;Laprida
343;437;1988;Las Flores
344;271;1988;Leandro N, Alem
345;0;1988;Lezama
