;Empleo;Año del censo;Partido
395;0;1988;Suipacha
396;0;1988;Tandil
397;0;1988;Tapalqué
398;0;1988;Tigre
399;0;1988;Tordillo
400;0;1988;Tornquist
401;0;1988;Trenque Lauquen
402;0;1988;Tres Arroyos
403;0;1988;Tres de Febrero
404;0;1988;Tres Lomas
405;0;1988;25 de mayo
406;0;1988;Vicente López
407;0;1988;Villa Gesell
408;0;1988;Villarino
409;0;1988;Zárate
410;0;1988;Indeterminado
