;HA de EAPs;Año del censo;Partido;Tipo forrajera
119;1122;2018;San Pedro;2.Forrajeras anuales
120;1164;2018;San Vicente;2.Forrajeras anuales
121;4914;2018;Suipacha;2.Forrajeras anuales
122;31803;2018;Tandil;2.Forrajeras anuales
123;10913;2018;Tapalqué;2.Forrajeras anuales
124;0;2018;Tigre;2.Forrajeras anuales
125;860;2018;Tordillo;2.Forrajeras anuales
126;75151;2018;Tornquist;2.Forrajeras anuales
127;46680;2018;Trenque Lauquen;2.Forrajeras anuales
128;34231;2018;Tres Arroyos;2.Forrajeras anuales
129;0;2018;Tres de Febrero;2.Forrajeras anuales
130;6745;2018;Tres Lomas;2.Forrajeras anuales
131;18664;2018;25 de mayo;2.Forrajeras anuales
132;0;2018;Vicente López;2.Forrajeras anuales
133;0;2018;Villa Gesell;2.Forrajeras anuales
134;76529;2018;Villarino;2.Forrajeras anuales
135;352;2018;Zárate;2.Forrajeras anuales
136;1325414;2002;Provincia de Buenos Aires;2.Forrajeras anuales
137;78016;2002;Adolfo Alsina;2.Forrajeras anuales
138;16300;2002;Adolfo Gonzales Chaves;2.Forrajeras anuales
139;1666;2002;Alberti;2.Forrajeras anuales
140;0;2002;Almirante Brown;2.Forrajeras anuales
141;1093;2002;Arrecifes;2.Forrajeras anuales
142;0;2002;Avellaneda;2.Forrajeras anuales
143;13230;2002;Ayacucho;2.Forrajeras anuales
144;23429;2002;Azul;2.Forrajeras anuales
145;39196;2002;Bahía Blanca;2.Forrajeras anuales
146;11590;2002;Balcarce;2.Forrajeras anuales
147;1395;2002;Baradero;2.Forrajeras anuales
148;11474;2002;Benito Juárez;2.Forrajeras anuales
149;0;2002;Berazategui;2.Forrajeras anuales
150;0;2002;Berisso;2.Forrajeras anuales
151;11084;2002;Bolívar;2.Forrajeras anuales
152;1618;2002;Bragado;2.Forrajeras anuales
153;3623;2002;Brandsen;2.Forrajeras anuales
154;310;2002;Campana;2.Forrajeras anuales
155;1068;2002;Cañuelas;2.Forrajeras anuales
156;1043;2002;Capitán Sarmiento;2.Forrajeras anuales
157;6683;2002;Carlos Casares;2.Forrajeras anuales
158;6757;2002;Carlos Tejedor;2.Forrajeras anuales
159;3603;2002;Carmen de Areco;2.Forrajeras anuales
160;4355;2002;Castelli;2.Forrajeras anuales
161;3378;2002;Chacabuco;2.Forrajeras anuales
162;4086;2002;Chascomús;2.Forrajeras anuales
163;4230;2002;Chivilcoy;2.Forrajeras anuales
164;398;2002;Colón;2.Forrajeras anuales
165;14829;2002;Coronel de Marina Leonardo Rosales;2.Forrajeras anuales
166;59795;2002;Coronel Dorrego;2.Forrajeras anuales
167;33811;2002;Coronel Pringles;2.Forrajeras anuales
168;41107;2002;Coronel Suárez;2.Forrajeras anuales
169;11721;2002;Daireaux;2.Forrajeras anuales
170;261;2002;Dolores;2.Forrajeras anuales
171;0;2002;Ensenada;2.Forrajeras anuales
172;242;2002;Escobar;2.Forrajeras anuales
173;0;2002;Esteban Echeverría;2.Forrajeras anuales
174;1148;2002;Exaltación de la Cruz;2.Forrajeras anuales
175;90;2002;Ezeiza;2.Forrajeras anuales
176;0;2002;Florencio Varela;2.Forrajeras anuales
177;8199;2002;Florentino Ameghino;2.Forrajeras anuales
178;4971;2002;General Alvarado;2.Forrajeras anuales
179;4124;2002;General Alvear;2.Forrajeras anuales
180;1440;2002;General Arenales;2.Forrajeras anuales
181;2657;2002;General Belgrano;2.Forrajeras anuales
182;1086;2002;General Guido;2.Forrajeras anuales
183;2840;2002;General Juan Madariaga;2.Forrajeras anuales
184;14151;2002;General La Madrid;2.Forrajeras anuales
185;1559;2002;General Las Heras;2.Forrajeras anuales
186;1485;2002;General Lavalle;2.Forrajeras anuales
187;2314;2002;General Paz;2.Forrajeras anuales
188;10785;2002;General Pinto;2.Forrajeras anuales
189;4329;2002;General Pueyrredón;2.Forrajeras anuales
190;992;2002;General Rodríguez;2.Forrajeras anuales
191;0;2002;General San Martín;2.Forrajeras anuales
192;3054;2002;General Viamonte;2.Forrajeras anuales
193;29191;2002;General Villegas;2.Forrajeras anuales
194;50815;2002;Guaminí;2.Forrajeras anuales
195;4889;2002;Hipólito Yrigoyen;2.Forrajeras anuales
196;0;2002;Hurlingham;2.Forrajeras anuales
197;0;2002;Ituzaingó;2.Forrajeras anuales
198;0;2002;José C, Paz;2.Forrajeras anuales
199;2890;2002;Junín;2.Forrajeras anuales
200;0;2002;La Costa;2.Forrajeras anuales
201;2997;2002;La Matanza;2.Forrajeras anuales
202;0;2002;Lanús;2.Forrajeras anuales
203;1013;2002;La Plata;2.Forrajeras anuales
204;12231;2002;Laprida;2.Forrajeras anuales
205;2586;2002;Las Flores;2.Forrajeras anuales
206;6500;2002;Leandro N, Alem;2.Forrajeras anuales
207;0;2002;Lezama;2.Forrajeras anuales
208;16588;2002;Lincoln;2.Forrajeras anuales
209;19833;2002;Lobería;2.Forrajeras anuales
210;3785;2002;Lobos;2.Forrajeras anuales
211;77;2002;Lomas de Zamora;2.Forrajeras anuales
212;1504;2002;Luján;2.Forrajeras anuales
213;3740;2002;Magdalena;2.Forrajeras anuales
214;1886;2002;Maipú;2.Forrajeras anuales
215;0;2002;Malvinas Argentinas;2.Forrajeras anuales
216;6067;2002;Mar Chiquita;2.Forrajeras anuales
217;2661;2002;Marcos Paz;2.Forrajeras anuales
218;3764;2002;Mercedes;2.Forrajeras anuales
219;220;2002;Merlo;2.Forrajeras anuales
220;5552;2002;Monte;2.Forrajeras anuales
221;1240;2002;Monte Hermoso;2.Forrajeras anuales
222;0;2002;Moreno;2.Forrajeras anuales
223;0;2002;Morón;2.Forrajeras anuales
224;5532;2002;Navarro;2.Forrajeras anuales
225;15271;2002;Necochea;2.Forrajeras anuales
226;7350;2002;9 de julio;2.Forrajeras anuales
227;16651;2002;Olavarría;2.Forrajeras anuales
228;134056;2002;Patagones;2.Forrajeras anuales
229;7717;2002;Pehuajó;2.Forrajeras anuales
230;25229;2002;Pellegrini;2.Forrajeras anuales
231;3323;2002;Pergamino;2.Forrajeras anuales
232;832;2002;Pila;2.Forrajeras anuales
233;6;2002;Pilar;2.Forrajeras anuales
234;0;2002;Pinamar;2.Forrajeras anuales
235;4;2002;Presidente Perón;2.Forrajeras anuales
236;70718;2002;Puán;2.Forrajeras anuales
237;397;2002;Punta Indio;2.Forrajeras anuales
238;0;2002;Quilmes;2.Forrajeras anuales
239;188;2002;Ramallo;2.Forrajeras anuales
240;4895;2002;Rauch;2.Forrajeras anuales
241;26878;2002;Rivadavia;2.Forrajeras anuales
242;1954;2002;Rojas;2.Forrajeras anuales
