;HA de EAPs;Año del censo;Partido;Tipo de Oleaginosa
204;4482;2002;Laprida;2.Otras oleaginosas
205;2208;2002;Las Flores;2.Otras oleaginosas
206;0;2002;Leandro N, Alem;2.Otras oleaginosas
207;0;2002;Lezama;2.Otras oleaginosas
208;6005;2002;Lincoln;2.Otras oleaginosas
209;63953;2002;Lobería;2.Otras oleaginosas
210;1195;2002;Lobos;2.Otras oleaginosas
211;0;2002;Lomas de Zamora;2.Otras oleaginosas
212;783;2002;Luján;2.Otras oleaginosas
213;1272;2002;Magdalena;2.Otras oleaginosas
214;2470;2002;Maipú;2.Otras oleaginosas
215;0;2002;Malvinas Argentinas;2.Otras oleaginosas
216;4237;2002;Mar Chiquita;2.Otras oleaginosas
217;260;2002;Marcos Paz;2.Otras oleaginosas
218;1355;2002;Mercedes;2.Otras oleaginosas
219;0;2002;Merlo;2.Otras oleaginosas
220;336;2002;Monte;2.Otras oleaginosas
221;0;2002;Monte Hermoso;2.Otras oleaginosas
222;0;2002;Moreno;2.Otras oleaginosas
223;0;2002;Morón;2.Otras oleaginosas
224;295;2002;Navarro;2.Otras oleaginosas
225;93702;2002;Necochea;2.Otras oleaginosas
226;2052;2002;9 de julio;2.Otras oleaginosas
227;10210;2002;Olavarría;2.Otras oleaginosas
228;2683;2002;Patagones;2.Otras oleaginosas
229;7369;2002;Pehuajó;2.Otras oleaginosas
230;20339;2002;Pellegrini;2.Otras oleaginosas
231;328;2002;Pergamino;2.Otras oleaginosas
232;130;2002;Pila;2.Otras oleaginosas
233;0;2002;Pilar;2.Otras oleaginosas
234;0;2002;Pinamar;2.Otras oleaginosas
235;0;2002;Presidente Perón;2.Otras oleaginosas
236;6233;2002;Puán;2.Otras oleaginosas
237;35;2002;Punta Indio;2.Otras oleaginosas
238;0;2002;Quilmes;2.Otras oleaginosas
239;249;2002;Ramallo;2.Otras oleaginosas
240;1568;2002;Rauch;2.Otras oleaginosas
241;23699;2002;Rivadavia;2.Otras oleaginosas
242;10;2002;Rojas;2.Otras oleaginosas
243;323;2002;Roque Pérez;2.Otras oleaginosas
244;22000;2002;Saavedra;2.Otras oleaginosas
245;5086;2002;Saladillo;2.Otras oleaginosas
246;3893;2002;Salliqueló;2.Otras oleaginosas
247;23;2002;Salto;2.Otras oleaginosas
248;1431;2002;San Andrés de Giles;2.Otras oleaginosas
249;888;2002;San Antonio de Areco;2.Otras oleaginosas
250;42976;2002;San Cayetano;2.Otras oleaginosas
251;0;2002;San Fernando;2.Otras oleaginosas
252;0;2002;San Isidro;2.Otras oleaginosas
253;0;2002;San Miguel;2.Otras oleaginosas
254;64;2002;San Nicolás;2.Otras oleaginosas
255;371;2002;San Pedro;2.Otras oleaginosas
256;0;2002;San Vicente;2.Otras oleaginosas
257;417;2002;Suipacha;2.Otras oleaginosas
258;27004;2002;Tandil;2.Otras oleaginosas
259;694;2002;Tapalqué;2.Otras oleaginosas
260;0;2002;Tigre;2.Otras oleaginosas
261;0;2002;Tordillo;2.Otras oleaginosas
262;9125;2002;Tornquist;2.Otras oleaginosas
263;27234;2002;Trenque Lauquen;2.Otras oleaginosas
264;111737;2002;Tres Arroyos;2.Otras oleaginosas
265;0;2002;Tres de Febrero;2.Otras oleaginosas
266;8008;2002;Tres Lomas;2.Otras oleaginosas
267;3217;2002;25 de mayo;2.Otras oleaginosas
268;0;2002;Vicente López;2.Otras oleaginosas
269;0;2002;Villa Gesell;2.Otras oleaginosas
270;3534;2002;Villarino;2.Otras oleaginosas
271;172;2002;Zárate;2.Otras oleaginosas
272;1242183;1988;Provincia de Buenos Aires;2.Otras oleaginosas
273;37804;1988;Adolfo Alsina;2.Otras oleaginosas
274;31693;1988;Adolfo Gonzales Chaves;2.Otras oleaginosas
275;4658;1988;Alberti;2.Otras oleaginosas
276;0;1988;Almirante Brown;2.Otras oleaginosas
277;0;1988;Arrecifes;2.Otras oleaginosas
278;0;1988;Avellaneda;2.Otras oleaginosas
279;19128;1988;Ayacucho;2.Otras oleaginosas
280;29941;1988;Azul;2.Otras oleaginosas
281;170;1988;Bahía Blanca;2.Otras oleaginosas
282;24552;1988;Balcarce;2.Otras oleaginosas
283;6255;1988;Baradero;2.Otras oleaginosas
284;2931;1988;Bartolomé Mitre;2.Otras oleaginosas
285;24634;1988;Benito Juárez;2.Otras oleaginosas
286;206;1988;Berazategui;2.Otras oleaginosas
287;120;1988;Berisso;2.Otras oleaginosas
288;11376;1988;Bolívar;2.Otras oleaginosas
289;11397;1988;Bragado;2.Otras oleaginosas
290;335;1988;Brandsen;2.Otras oleaginosas
291;1382;1988;Campana;2.Otras oleaginosas
292;2365;1988;Cañuelas;2.Otras oleaginosas
293;2671;1988;Capitán Sarmiento;2.Otras oleaginosas
294;6861;1988;Carlos Casares;2.Otras oleaginosas
295;6513;1988;Carlos Tejedor;2.Otras oleaginosas
296;1486;1988;Carmen de Areco;2.Otras oleaginosas
297;9215;1988;Castelli;2.Otras oleaginosas
298;2521;1988;Chacabuco;2.Otras oleaginosas
299;6871;1988;Chascomús;2.Otras oleaginosas
300;7944;1988;Chivilcoy;2.Otras oleaginosas
301;378;1988;Colón;2.Otras oleaginosas
302;0;1988;Coronel de Marina Leonardo Rosales;2.Otras oleaginosas
303;39624;1988;Coronel Dorrego;2.Otras oleaginosas
304;30029;1988;Coronel Pringles;2.Otras oleaginosas
305;62913;1988;Coronel Suárez;2.Otras oleaginosas
306;13850;1988;Daireaux;2.Otras oleaginosas
307;367;1988;Dolores;2.Otras oleaginosas
308;0;1988;Ensenada;2.Otras oleaginosas
309;0;1988;Escobar;2.Otras oleaginosas
310;291;1988;Esteban Echeverría;2.Otras oleaginosas
311;3912;1988;Exaltación de la Cruz;2.Otras oleaginosas
312;0;1988;Ezeiza;2.Otras oleaginosas
313;83;1988;Florencio Varela;2.Otras oleaginosas
314;0;1988;Florentino Ameghino;2.Otras oleaginosas
315;13020;1988;General Alvarado;2.Otras oleaginosas
316;1930;1988;General Alvear;2.Otras oleaginosas
317;1738;1988;General Arenales;2.Otras oleaginosas
318;6343;1988;General Belgrano;2.Otras oleaginosas
319;1584;1988;General Guido;2.Otras oleaginosas
320;1271;1988;General Juan Madariaga;2.Otras oleaginosas
321;19826;1988;General La Madrid;2.Otras oleaginosas
322;809;1988;General Las Heras;2.Otras oleaginosas
323;370;1988;General Lavalle;2.Otras oleaginosas
324;1831;1988;General Paz;2.Otras oleaginosas
325;25128;1988;General Pinto;2.Otras oleaginosas
326;6582;1988;General Pueyrredón;2.Otras oleaginosas
327;423;1988;General Rodríguez;2.Otras oleaginosas
328;0;1988;General San Martín;2.Otras oleaginosas
329;0;1988;General Sarmiento;2.Otras oleaginosas
330;9300;1988;General Viamonte;2.Otras oleaginosas
331;45181;1988;General Villegas;2.Otras oleaginosas
332;22752;1988;Guaminí;2.Otras oleaginosas
333;3362;1988;Hipólito Yrigoyen;2.Otras oleaginosas
334;0;1988;Hurlingham;2.Otras oleaginosas
335;0;1988;Ituzaingó;2.Otras oleaginosas
336;0;1988;José C, Paz;2.Otras oleaginosas
337;3672;1988;Junín;2.Otras oleaginosas
338;0;1988;La Costa;2.Otras oleaginosas
339;69;1988;La Matanza;2.Otras oleaginosas
340;0;1988;Lanús;2.Otras oleaginosas
341;325;1988;La Plata;2.Otras oleaginosas
342;6331;1988;Laprida;2.Otras oleaginosas
343;4665;1988;Las Flores;2.Otras oleaginosas
344;4731;1988;Leandro N, Alem;2.Otras oleaginosas
345;0;1988;Lezama;2.Otras oleaginosas
346;32151;1988;Lincoln;2.Otras oleaginosas
347;70112;1988;Lobería;2.Otras oleaginosas
348;8843;1988;Lobos;2.Otras oleaginosas
349;0;1988;Lomas de Zamora;2.Otras oleaginosas
350;3910;1988;Luján;2.Otras oleaginosas
351;4848;1988;Magdalena;2.Otras oleaginosas
352;1350;1988;Maipú;2.Otras oleaginosas
353;0;1988;Malvinas Argentinas;2.Otras oleaginosas
354;9841;1988;Mar Chiquita;2.Otras oleaginosas
355;636;1988;Marcos Paz;2.Otras oleaginosas
356;5051;1988;Mercedes;2.Otras oleaginosas
357;0;1988;Merlo;2.Otras oleaginosas
358;6531;1988;Monte;2.Otras oleaginosas
359;0;1988;Monte Hermoso;2.Otras oleaginosas
360;65;1988;Moreno;2.Otras oleaginosas
361;0;1988;Morón;2.Otras oleaginosas
362;7511;1988;Navarro;2.Otras oleaginosas
363;78392;1988;Necochea;2.Otras oleaginosas
364;16574;1988;9 de julio;2.Otras oleaginosas
365;15352;1988;Olavarría;2.Otras oleaginosas
366;0;1988;Patagones;2.Otras oleaginosas
367;6225;1988;Pehuajó;2.Otras oleaginosas
368;12111;1988;Pellegrini;2.Otras oleaginosas
369;7278;1988;Pergamino;2.Otras oleaginosas
370;1315;1988;Pila;2.Otras oleaginosas
371;249;1988;Pilar;2.Otras oleaginosas
372;0;1988;Pinamar;2.Otras oleaginosas
373;0;1988;Presidente Perón;2.Otras oleaginosas
374;11206;1988;Puán;2.Otras oleaginosas
375;0;1988;Punta Indio;2.Otras oleaginosas
376;0;1988;Quilmes;2.Otras oleaginosas
377;966;1988;Ramallo;2.Otras oleaginosas
378;5778;1988;Rauch;2.Otras oleaginosas
379;28625;1988;Rivadavia;2.Otras oleaginosas
380;1309;1988;Rojas;2.Otras oleaginosas
381;5411;1988;Roque Pérez;2.Otras oleaginosas
382;29688;1988;Saavedra;2.Otras oleaginosas
383;8800;1988;Saladillo;2.Otras oleaginosas
384;6628;1988;Salliqueló;2.Otras oleaginosas
385;4896;1988;Salto;2.Otras oleaginosas
386;6434;1988;San Andrés de Giles;2.Otras oleaginosas
387;5577;1988;San Antonio de Areco;2.Otras oleaginosas
388;53451;1988;San Cayetano;2.Otras oleaginosas
389;0;1988;San Fernando;2.Otras oleaginosas
390;0;1988;San Isidro;2.Otras oleaginosas
391;0;1988;San Miguel;2.Otras oleaginosas
392;600;1988;San Nicolás;2.Otras oleaginosas
393;2870;1988;San Pedro;2.Otras oleaginosas
394;305;1988;San Vicente;2.Otras oleaginosas
395;3928;1988;Suipacha;2.Otras oleaginosas
396;49494;1988;Tandil;2.Otras oleaginosas
397;2622;1988;Tapalqué;2.Otras oleaginosas
398;0;1988;Tigre;2.Otras oleaginosas
399;0;1988;Tordillo;2.Otras oleaginosas
400;8067;1988;Tornquist;2.Otras oleaginosas
401;8447;1988;Trenque Lauquen;2.Otras oleaginosas
402;95679;1988;Tres Arroyos;2.Otras oleaginosas
403;0;1988;Tres de Febrero;2.Otras oleaginosas
404;6001;1988;Tres Lomas;2.Otras oleaginosas
405;16718;1988;25 de mayo;2.Otras oleaginosas
406;0;1988;Vicente López;2.Otras oleaginosas
407;0;1988;Villa Gesell;2.Otras oleaginosas
408;0;1988;Villarino;2.Otras oleaginosas
409;4077;1988;Zárate;2.Otras oleaginosas
410;555;1988;Indeterminado;2.Otras oleaginosas
