LOCALIDAD;TIPO DE ORDENANZA;FECHA;ORDENANZA;LINK;Crea un organismo municipal de certificacion agroecologica;Crea un registro de productores agroecologicos;Posee promocion de cursos, talleres y capacitaciones;Asesoramiento y ayuda;Bonificaciónes las tasas municipales de red vial/ exenciones impositivas.;Ser priorizado en la compra estatal local.;Que el Municipio promueva y difunda en medios oficiales sus producciones;Que se favorezcan sus procesos de organización y participación en ferias y mercados locales.;Facilitar , promover , articular , tramitar acciones, dialigo , certificaciones con la provincia y /o la nacion r..;Una participación prioritaria en eventos y exposiciones dentro del territorio Municipal- de carácter institucional, cultural, etc;Acceso a tierra / facilidades para terrenos;Facilitar acceso a creditos;Comprende producción ganadera;EL MUNICIPIO FORMA PARTE DE LA RENAMA;Puntaje - agroeco;Puntaje - agroeco NORMALIZADO
Hurlingham;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Ituzaingó;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
José C. Paz;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Junín;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
La Costa;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
La Matanza;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
La Plata;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Lanús;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Laprida;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Las Flores;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Leandro N. Alem;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Lezama;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Lincoln;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Lobería;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Lobos;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Lomas de Zamora;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Luján;FOMENTO A LA AGROECOLOGÍA;2017;S/N;https://drive.google.com/file/d/1AS64fGMEWejWYbZ8miLYNEynNm72fePZ/view?usp=sharing;SI;SI;NO;SI;Si (no es taxativo);SI;SI;SI;SI;NO;NO;SI;SI;SI;14;0.9333333333
Magdalena;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
