Municipios;Ordenanza;Fecha;Link - Repositorio;Zona Urbana - Exclusion;Zona Urbana - Amortiguamiento;Zona Urbana - Exclusion Aerea;Poblados Rurales - Exclusion;Poblados Rurales - Amortiguamiento;Poblados Rurales - Exclusion Aerea;Puntaje
Adolfo Alsina;N°3840/14;30/4/2014;https://drive.google.com/file/d/1QuSp121upZrg2pBEMH5vzQDNmY4nCfw6/view?usp=share_link;100;1;200;100;200;200;0.08
Adolfo Gonzáles Chaves;N°1156/86;;https://drive.google.com/file/d/1H4AVG1e5hcGtgUVgwSG7vYc2N0ggA8Td/view?usp=share_link;0;0;0;0;0;0;0.00
Alberti;N°1690/08;26/5/2008;https://drive.google.com/file/d/1ouZLi8LIMKvUVvLbKbc7sgAaegKve24P/view?usp=share_link;0;1000;1000;0;0;0;0.17
Almirante Brown;N°9140;;https://drive.google.com/file/d/1v7EaIErw3XOXmEmD6SzF3ogyP90bMNRq/view?usp=share_link;0;0;0;0;0;0;0.00
Arrecifes;N°2786;;https://drive.google.com/file/d/1CKJ63qOImswZOrUqOY0H0VChWgGYU9It/view?usp=share_link;300;1200;2000;0;0;0;0.33
Avellaneda;;;;;;;;;;
Ayacucho;N°5528/20;28/12/2020;https://drive.google.com/file/d/1ThVJiyasHCSLVADL-yThH16A5b82WOBD/view?usp=share_link;100;400;500;100;400;500;0.18
Azul;N°4564/21;2021;https://drive.google.com/file/d/1jKlFG_F9y4GTSzYp8dlz0KUKBZcUewxP/view;1;200;0;1;200;0;0.03
Bahía Blanca;N°5441/89;29/6/1989;https://drive.google.com/file/d/1nJACsUzI4BmEuLcxkkpnITSUamS5nnN9/view?usp=share_link;0;0;0;0;0;0;0.00
Balcarce;N°158/18;22/11/2018;https://drive.google.com/file/d/15UdXYTYmbQR6DfccsJ3yE3HL9HdlSmRL/view?usp=share_link;0;0;0;0;0;0;0.00
Baradero;;;;;;;;;;
Benito Juárez;N°5542/20;25/6/2020;https://drive.google.com/file/d/1szUQMt2EW7e8FaLoG7yspjcxnVmpiWNk/view?usp=share_link;1;0;2000;500;0;2000;0.50
Berazategui;;;;;;;;;;
Berisso;;;;;;;;;;
Bolívar;N°2459/2017;5/12/2017;https://drive.google.com/file/d/1MOR6mlbttxXkDOeWlFYOnizKzX8M2fEf/view?usp=share_link;1000;1000;2000;1000;1000;2000;0.78
Bragado;N°3706;7/5/2009;https://drive.google.com/file/d/1MsWaxB3oieSAwJs9oKGkpQ4qNfdOLcw7/view?usp=share_link;50;2000;0;0;0;0;0.12
Brandsen;;;;;;;;;;
Campana;N°5792/11;8/9/2011;https://drive.google.com/file/d/1e6DHMOXh5nbZEVY1mrq5GqNqBbTLRqaS/view?usp=share_link;1000;0;1;1000;0;1000;1.00
Cañuelas;N°2671/10;9/6/2010;https://drive.google.com/file/d/1bG3pTPpAaI-Pm1hS4FADK7qC1TvSDq6p/view?usp=share_link;0;2000;1;0;2000;0;0.89
Capitán Sarmiento;N°1672/09;29/10/2009;https://drive.google.com/file/d/1OODwBr8fT7q4uKY9z-N0PWJoRFPQNVbN/view?usp=share_link;500;1500;2000;0;0;2000;0.59
Carlos Casares;;;;;;;;;;
Carlos Tejedor;N°2350/14;28/10/2014;https://drive.google.com/file/d/1pLWRx0k7zIbs9UP8JIiDRAQufsQKDxC3/view?usp=share_link;300;700;2000;100;100;500;0.37
Carmen de Areco;N°2960;2018;https://drive.google.com/file/d/1tXc0XCHhcSWReURxRyfxGilkNpZgR1KD/view?usp=share_link;0;100;200;0;50;0;0.04
Castelli;N°41/20;9/9/2020;https://drive.google.com/file/d/14LxBf8mDwfonSBNPPNfnAK92JyS1GLBN/view;1000;0;1;0;0;0;0.78
Chacabuco;N°7077/17;25/8/2017;https://drive.google.com/file/d/17PON1a8YaZyTZsn1W2jS_H6NBPhkmzgd/view;0;300;300;0;300;300;0.10
Chascomús;N°5329/18;27/12/2018;https://drive.google.com/file/d/1SYzMhUHmQQIoIpyuTWHTSIbIZ8IkJ4rI/view;200;1;0;0;0;0;0.08
Chivilcoy;;;;;;;;;;
Colón;N°1713/96;13/9/1996;https://drive.google.com/file/d/1OuFHovH96A8_nvWR_DkkHu1PHr5_IC6m/view;0;3000;0;0;0;0;0.17
Coronel Dorrego;N°3147/11;10/11/2011;https://drive.google.com/file/d/11MkZOdHE2qsGUGb7uDK4QC3lg731uhsS/view;0;0;0;0;0;0;0.00
Coronel Pringles;N°4081 y N°4240;"21/11/2013
18/02/2016";https://drive.google.com/file/d/13ywZytgxpclgnPwKvVbEcd0otniKuqNC/view --y-- https://drive.google.com/file/d/1l3jYUBWtyhgN8rCYfsvH0MRqpY6ahhZQ/view;0;2000;2000;0;2000;2000;0.67
Coronel Rosales;;;;;;;;;;
Coronel Suárez;N°7404/20;3/11/2020;https://drive.google.com/file/d/13s_4BtIqYVp3xT5FiV2PWCDR_aYpKFxo/view;2000;1000;2000;0;0;0;0.50
Daireaux;N°2383/20;30/11/2020;https://drive.google.com/file/d/1tJeh0EBQbi7Tam5SNfkQyDpp6g68kTBg/view;0;0;0;0;0;0;0.00
Dolores;;;;;;;;;;
Ensenada;;;;;;;;;;
Escobar;;;;;;;;;;
Esteban Echeverría;;;;;;;;;;
Exaltación de la Cruz;N°2557/19;26/3/2019;https://drive.google.com/file/d/1AW4DeuFK74kXUfswNZcDdZ4RFqKRyqCV/view;0;0;5000;0;0;0;0.56
Ezeiza;;;;;;;;;;0.00
