Municipios;Ordenanza;Fecha;Link;Exclusión en M;Amortiguamiento en M;Exclusión aérea en M;Obligatoriedad de notificación;Puntaje
Adolfo Alsina;N°3840/14;30/4/2014;https://drive.google.com/file/d/1QuSp121upZrg2pBEMH5vzQDNmY4nCfw6/view?usp=share_link;100;200;200;SI;0.06
Adolfo Gonzáles Chaves;N°1156/86;;https://drive.google.com/file/d/1H4AVG1e5hcGtgUVgwSG7vYc2N0ggA8Td/view?usp=share_link;0;0;0;NO;0.01
Alberti;N°1690/08;26/5/2008;https://drive.google.com/file/d/1ouZLi8LIMKvUVvLbKbc7sgAaegKve24P/view?usp=share_link;0;0;0;NO;0.01
Almirante Brown;N°9140;;https://drive.google.com/file/d/1v7EaIErw3XOXmEmD6SzF3ogyP90bMNRq/view?usp=share_link;0;0;0;NO;0.01
Arrecifes;N°2786;;https://drive.google.com/file/d/1CKJ63qOImswZOrUqOY0H0VChWgGYU9It/view?usp=share_link;100;300;0;SI;0.04
Avellaneda;;;;;;;;
Ayacucho;N°5528/20;28/12/2020;https://drive.google.com/file/d/1ThVJiyasHCSLVADL-yThH16A5b82WOBD/view?usp=share_link;100;400;500;NO;0.12
Azul;N°4564/21;2021;https://drive.google.com/file/d/1jKlFG_F9y4GTSzYp8dlz0KUKBZcUewxP/view;1;200;0;NO;0.02
Bahía Blanca;N°5441/89;29/6/1989;https://drive.google.com/file/d/1nJACsUzI4BmEuLcxkkpnITSUamS5nnN9/view?usp=share_link;0;0;0;NO;0.01
Balcarce;N°158/18;22/11/2018;https://drive.google.com/file/d/15UdXYTYmbQR6DfccsJ3yE3HL9HdlSmRL/view?usp=share_link;0;0;0;NO;0.01
Baradero;;;;;;;;
Benito Juárez;N°5542/20;25/6/2020;https://drive.google.com/file/d/1szUQMt2EW7e8FaLoG7yspjcxnVmpiWNk/view?usp=share_link;500;0;0;NO;0.08
Berazategui;;;;;;;;
Berisso;;;;;;;;
Bolívar;N°2459/2017;5/12/2017;https://drive.google.com/file/d/1MOR6mlbttxXkDOeWlFYOnizKzX8M2fEf/view?usp=share_link;1000;1000;2000;SI;0.49
Bragado;N°3706;7/5/2009;https://drive.google.com/file/d/1MsWaxB3oieSAwJs9oKGkpQ4qNfdOLcw7/view?usp=share_link;50;0;0;NO;0.01
Brandsen;;;;;;;;
Campana;N°5792/11;8/9/2011;https://drive.google.com/file/d/1e6DHMOXh5nbZEVY1mrq5GqNqBbTLRqaS/view?usp=share_link;1000;0;1000;NO;0.70
Cañuelas;N°2671/10;9/6/2010;https://drive.google.com/file/d/1bG3pTPpAaI-Pm1hS4FADK7qC1TvSDq6p/view?usp=share_link;200;2000;1;SI;1.00
Capitán Sarmiento;N°1672/09;29/10/2009;https://drive.google.com/file/d/1OODwBr8fT7q4uKY9z-N0PWJoRFPQNVbN/view?usp=share_link;0;500;0;0;0.04
Carlos Casares;;;;;;;;
Carlos Tejedor;N°2350/14;28/10/2014;https://drive.google.com/file/d/1pLWRx0k7zIbs9UP8JIiDRAQufsQKDxC3/view?usp=share_link;100;100;500;0;0.10
Carmen de Areco;N°2960;2018;https://drive.google.com/file/d/1tXc0XCHhcSWReURxRyfxGilkNpZgR1KD/view?usp=share_link;50;0;100;0;0.03
Castelli;N°41/20;9/9/2020;https://drive.google.com/file/d/14LxBf8mDwfonSBNPPNfnAK92JyS1GLBN/view;0;0;1;0;0.42
Chacabuco;N°7077/17;25/8/2017;https://drive.google.com/file/d/17PON1a8YaZyTZsn1W2jS_H6NBPhkmzgd/view;0;300;300;SI;0.07
Chascomús;N°5329/18;27/12/2018;https://drive.google.com/file/d/1SYzMhUHmQQIoIpyuTWHTSIbIZ8IkJ4rI/view;200;1000;0;SI;0.10
Chivilcoy;;;;;;;;
Colón;N°1713/96;13/9/1996;https://drive.google.com/file/d/1OuFHovH96A8_nvWR_DkkHu1PHr5_IC6m/view;0;0;0;NO;0.01
Coronel Dorrego;N°3147/11;10/11/2011;https://drive.google.com/file/d/11MkZOdHE2qsGUGb7uDK4QC3lg731uhsS/view;0;0;0;0;0.01
Coronel Pringles;N°4081 y N°4240;"21/11/2013
18/02/2016";https://drive.google.com/file/d/13ywZytgxpclgnPwKvVbEcd0otniKuqNC/view --y-- https://drive.google.com/file/d/1l3jYUBWtyhgN8rCYfsvH0MRqpY6ahhZQ/view;0;2000;2000;NO;0.42
Coronel Rosales;;;;;;;;
Coronel Suárez;N°7404/20;3/11/2020;https://drive.google.com/file/d/13s_4BtIqYVp3xT5FiV2PWCDR_aYpKFxo/view;0;0;0;NO;0.01
Daireaux;N°2383/20;30/11/2020;https://drive.google.com/file/d/1tJeh0EBQbi7Tam5SNfkQyDpp6g68kTBg/view;0;0;0;NO;0.01
Dolores;;;;;;;;
Ensenada;;;;;;;;
Escobar;;;;;;;;
Esteban Echeverría;;;;;;;;
Exaltación de la Cruz;N°2557/19;26/3/2019;https://drive.google.com/file/d/1AW4DeuFK74kXUfswNZcDdZ4RFqKRyqCV/view;0;0;0;NO;0.01
Ezeiza;;;;;;;;0.01
Florencio Varela;;;;;;;;
Florentino Ameghino;N°736;;https://drive.google.com/file/d/1qsh8jSLDiDJ3ZNThZbMMH2edQcSH7jjY/view;100;0;0;SI;0.02
General Alvarado;N°217/09;4/11/2009;https://drive.google.com/file/d/14qUgyRVPtmtKG8sRou5G8XQPBbgbBeI4/view;0;0;0;NO;0.01
General Alvear;N°1669/11;5/12/2011;https://drive.google.com/file/d/1beH_9iDpwMFxkZBtsGVRvyM45PsBbe04/view;100;0;0;NO;0.02
General Arenales;;;;;;;;
General Belgrano;;;;;;;;0.01
General Guido;;;;;;;;
General La Madrid;;;;;;;;
General Las Heras;N°69/10;6/10/2010;https://drive.google.com/file/d/1D0VJXPCNYY0kLalISYOPRTBO2qTmLHPi/view;200;0;1;SI;0.86
General Lavalle;;;;;;;;
General Madariaga;N°1732/07;13/9/2007;https://drive.google.com/file/d/19HTLfPZqHZIKvlOG1zKwfAFMtY-7xGMp/view;0;500;;;0.04
General Paz;;;;;;;;
General Pinto;N°4115/14;27/5/2014;https://drive.google.com/file/d/1P2V2GV8GGhv65zJiK5oUPRplhej65Axt/view;100;500;0;SI;0.05
General Pueyrredón;N°21296/13;23/5/2013;https://drive.google.com/file/d/1e9SyVgjmTLKnuf-DjxXBFn3xsRp23PNj/view;100;0;0;NO;0.02
General Rodríguez;;;;;;;;
General San Martín;;;;;;;;
General Viamonte;N°3150/15;12/11/2015;https://drive.google.com/file/d/1d8Os0_U4O9Dr4Uf82GGwv-VQ6CyOTqcw/view;300;0;300;SI;0.09
General Villegas;N°6124/20;16/7/2020;https://drive.google.com/file/d/1Uam06tg77yMTlR6FiadjglRLcJOlE-V3/view;0;0;;;0.01
Guaminí;N°13/16;13/6/2016;https://drive.google.com/file/d/1nnnP_yzqfSVhcSLL7TIdh5icY1Vbh8U9/view;100;100;500;SI;0.10
Hipólito Yrigoyen;N°96/13;2013;https://www.crea.org.ar/mapalegal/aplicaciones/buenos-aires#contenedorMapa;0;0;0;NO;0.01
Hurlingham;;;;;;;;
Ituzaingó;;;;0;0;0;NO;0.01
José C. Paz;;;;;;;;
Junín;N°6425/13;5/11/2013;https://drive.google.com/file/d/12wdG2HYReGferKTNAVpWp9mkUazQci2A/view;300;500;500;SI;0.15
La Costa;;;;;;;;
La Matanza;S/N;28/12/2022;https://drive.google.com/file/d/11ZXfYgjeiPoA9ShRbTbYgok3_TPPKShu/view;1100;0;0;NO;0.16
La Plata;N°7541/90;13/8/1990;https://drive.google.com/file/d/1GbD4CT76AifEIGKkQaL1ytuj62Z6vvT5/view;0;0;0;NO;0.01
Lanús;;;;;;;;
Laprida;N°1824/12;12/12/2012;https://drive.google.com/file/d/1oEJlXe8ZT27kWK07vl-Pa_jAjroAIE-H/view;0;0;0;0;0.01
