Municipios;Ordenanza;Link;Exclusión (en mtrs.);Amortiguamiento  (en mtrs.);Exclusión aérea  (en mtrs.);Amortiguamiento aérea  (en mtrs.);Obligatoriedad de notificación;Puntaje - Escuelas rurales
Ramallo;N°5133/15;https://drive.google.com/file/d/1ZPHlvF8poTrgTACTeYNIohQcfHlyYXTE/view;300;0;0;0;NO;300
Rauch;N°850/12;;500;0;1000;0;NO;1500
Rivadavia;N°3371/11;https://drive.google.com/file/d/1u1XlDlYxTSQexRwvDpe7NnrIC6x6fmbO/view;100;0;200;0;SI;600
Rojas;Sin ordenanzas;;;;;;;
Roque Pérez;N°2192/18;https://drive.google.com/file/d/1DqGzOrDfW3M4lTNY7T-gzdiGw3zy7f4z/view;1000;100;500;0;SI;3100
Saavedra - Pigüé;N°6092/12;https://drive.google.com/file/d/1tp68pz9sbU0wHBti0VBP4BCGDdWsd7md/view;500;0;500;0;SI;2000
Saladillo;N°77/08;https://drive.google.com/file/d/1VtMszOmrbH_XGnpTukInvzJ5kh6paK-B/view;100;0;0;0;SI;200
Salliqueló;N°1584/14;https://drive.google.com/file/d/1W5W5GpE1obVc1zD40EgR3e8JocndLY6X/view;1;1;0;0;SI;3
Salto;N°86/14;https://drive.google.com/file/d/1aqnY9b-ynt16HZHQbk3Z6HtO4YndbIG0/view;100;400;0;0;NO;300
San Andrés de Giles;N°2047/17;https://drive.google.com/file/d/12p5MjYWsqwIyTGmFtivnEraxCXX6w02D/view;0;100;0;0;NO;50
San Antonio de Areco;N°3919/14;https://drive.google.com/file/d/1PwlwzTOo_iNFGC3xZbo0lH1SPUKDFHCn/view;100;2000;3000;0;SI;8200
San Cayetano;N°992/00;https://drive.google.com/file/d/1P3WcEU_UJYmHC1YkAi79m2bHEvAc3JoG/view;0;0;0;0;NO;0
San Fernando;Sin ordenanzas;;;;;;;
San Isidro;Sin ordenanzas;;;;;;;
San Miguel;Sin ordenanzas;;;;;;;
San Nicolás;N°7044/07;https://drive.google.com/file/d/1oD5aH5-VD_5_uIjHd-7g0dgrsEvaIzyN/view;0;0;0;0;NO;0
San Pedro;N°5579/06;https://drive.google.com/file/d/1QsYmi06UR98oB9hwSX182ciDgW59lz5e/view;300;0;0;0;NO;300
San Vicente;Sin ordenanzas;;;;;;;
Suipacha;Sin ordenanzas;;;;;;;
Tandil;N°17404/21;https://drive.google.com/file/d/1X2AcXSB-JRMSbttPxtpworMLNtpyjWDf/view;150;500;0;2000;SI;2800
Tapalqué;Sin ordenanzas;;;;;;;
Tigre;Sin ordenanzas;;;;;;;
Tordillo;Sin ordenanzas;;;;;;;
Tornquist;N°2725/15;https://drive.google.com/file/d/15-k7suW5BCJC5a8wXNbqjMmh2UPE0kgh/view?usp=drive_open;200;200;0;0;SI;600
Trenque Lauquen;N°3965/13;https://drive.google.com/file/d/16ioI6lX6hOxuqTS0jps5zH2n_VHzwIHw/view;0;100;500;0;SI;1100
Tres Arroyos;N°7084/17;https://drive.google.com/file/d/1Jxb1fLN-t_uuPCD9x4-Yo-oTsMr2_1ZT/view;0;0;0;0;NO;0
Tres de Febrero;Sin ordenanzas;;;;;;;
Tres Lomas;N°1246/18;https://drive.google.com/file/d/1ckxQfkVTbwLNSR7pszRdnKWhPhDOR-Qk/view;0;0;0;0;NO;0
Veinticinco de Mayo;N°3380/18;https://drive.google.com/file/d/1fkicKDzXFmvPQvvZUw9PoOORIhCwSfl2/view;60;0;150;0;SI;420
Vicente López;Sin ordenanzas;;0;0;0;0;0;0
Villa Gesell;Sin ordenanzas;;;;;;;
Villarino;Sin ordenanzas;;;;;;;
Zárate;Sin ordenanzas;;;;;;;
